,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Gene Littles,1969-70,26.0,['CAR' 'KEN'],ABA,PG,84.0,,34.5,5.0,10.0,0.507,0.1,0.4,0.286,5.0,9.9,0.51,0.507,2.6,3.4,0.776,1.9,3.2,5.1,3.4,1.4,0.2,1.9,3.1,12.5,0,34.0,12.0,11.0,1.0,1.0,4.0,,,0,1,0,11,1969,1.0
0,Andrew Lang,1988-89,22.0,['PHO' 'PHI' 'ATL' 'TOT' 'MIN' 'MIL' 'CHI' 'NYK'],NBA,C,82.0,71.0,35.6,5.5,12.1,0.577,0.1,0.1,0.667,5.5,12.1,0.58,0.577,1.9,2.3,0.809,2.2,4.6,6.7,1.2,0.7,2.5,1.8,3.8,12.9,1,29.0,20.0,4.0,4.0,8.0,26.4,['ARKANSAS'],,0,0,0,3,1988,
0,Damian Lillard,2012-13,22.0,['POR'],NBA,PG,82.0,82.0,38.6,9.6,20.7,0.463,4.2,11.3,0.401,6.0,12.1,0.574,0.564,8.8,9.6,0.928,0.9,4.3,4.9,8.0,1.2,0.4,3.3,2.4,32.2,0,71.0,18.0,16.0,6.0,4.0,57.6,['WEBERST'],https://www.basketball-reference.com/req/202106291/images/headshots/lillada01.jpg,7,0,0,6,2012,3.0
0,Jalen Lecque,2019-20,19.0,['PHO' 'IND'],NBA,SG,5.0,0.0,6.4,0.8,2.3,0.4,0.0,0.8,0.0,0.8,2.0,0.667,0.4,0.8,0.8,1.0,0.5,0.8,1.3,0.5,0.0,0.0,0.4,0.6,2.0,0,4.0,2.0,1.0,,,3.7,,https://www.basketball-reference.com/req/202106291/images/headshots/lecquja01.jpg,0,0,0,,,
0,Bob Love,1966-67,24.0,['CIN' 'TOT' 'MIL' 'CHI' 'NYN' 'SEA'],NBA,PF,82.0,,43.0,10.4,23.5,0.466,,,,,,,,6.3,7.6,0.872,2.7,4.7,8.7,2.3,1.0,0.3,,3.4,25.8,1,49.0,18.0,8.0,5.0,2.0,,,https://www.basketball-reference.com/req/202106291/images/headshots/lovebo01.jpg,3,0,0,7,1965,
0,Reggie Lewis,1987-88,22.0,['BOS'],NBA,SG,82.0,82.0,39.3,8.6,17.6,0.503,0.2,0.8,0.267,8.5,16.9,0.507,0.505,4.1,4.7,0.867,1.5,3.7,5.2,3.7,1.5,1.3,1.9,3.2,20.8,0,42.0,12.0,12.0,5.0,5.0,38.9,['NEASTERN'],https://www.basketball-reference.com/req/202106291/images/headshots/lewisre01.jpg,1,0,0,22,1987,
0,Saben Lee,2020-21,21.0,['DET' 'TOT' 'PHI' 'PHO'],NBA,PG,48.0,7.0,16.3,2.1,5.1,0.75,0.5,1.6,0.379,1.9,3.9,1.0,0.75,1.8,2.5,0.789,0.6,1.9,2.4,3.6,1.0,0.3,1.5,1.6,6.3,1,25.0,9.0,12.0,4.0,2.0,22.9,['VANDY'],https://www.basketball-reference.com/req/202106291/images/headshots/leesa01.jpg,0,0,0,8,2020,
0,Raef LaFrentz,1998-99,22.0,['DEN' 'TOT' 'DAL' 'BOS' 'POR'],NBA,C,82.0,80.0,32.7,6.0,12.9,0.518,1.5,3.5,0.434,4.5,9.5,0.583,0.563,3.0,4.0,0.811,2.8,5.8,7.9,1.4,0.9,3.0,1.3,4.0,14.9,1,32.0,20.0,7.0,4.0,9.0,38.7,['KANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/lafrera01.jpg,0,0,0,3,1998,
0,Fred LaCour,1960-61,22.0,['STL' 'SFW'],NBA,SF,73.0,,20.6,3.2,7.3,0.429,,,,,,,,1.5,1.8,0.815,,,3.7,2.3,,,,2.3,7.8,0,28.0,15.0,7.0,,,,['SANFRAN'],,0,0,0,6,1960,
0,Al Lujack,1946-47,26.0,['WSC'],BAA,,5.0,,,0.2,1.6,0.125,,,,,,,,0.4,1.0,0.4,,,,0.0,,,,1.2,0.8,0,2.0,,,,,,,,0,0,0,,,
0,Bob Lavoy,1950-51,24.0,['INO' 'TOT' 'MLH' 'SYR'],NBA,PF,70.0,,33.2,3.8,9.8,0.444,,,,,,,,2.7,3.5,0.753,,,7.6,1.9,,,,3.9,10.3,1,31.0,13.0,5.0,,,,['WKENTUCKY'],,0,0,0,9,1950,
