,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Marcus Vinicius,2006-07,22.0,['NOK' 'NOH'],NBA,SF,13.0,0.0,7.9,0.7,1.5,0.467,0.4,0.9,0.429,0.3,0.6,0.5,0.575,0.4,0.8,0.714,0.2,0.7,0.8,0.4,0.2,0.1,0.5,0.8,2.2,0,7.0,4.0,2.0,1.0,1.0,6.7,,,0,0,0,13,2006,
0,Anderson Varejão,2004-05,22.0,['CLE' 'TOT' 'GSW'],NBA,PF,81.0,42.0,36.0,5.5,11.6,0.572,0.0,0.2,0.2,5.5,11.4,0.576,0.573,3.1,4.1,0.762,5.5,8.9,14.4,3.4,1.5,1.2,1.8,3.3,14.1,1,35.0,25.0,9.0,5.0,5.0,38.8,,https://www.basketball-reference.com/req/202106291/images/headshots/varejan01.jpg,0,0,0,1,2004,
0,David Vanterpool,2000-01,27.0,['WAS'],NBA,PG,22.0,0.0,18.7,2.1,5.0,0.418,0.0,0.3,0.0,2.1,4.7,0.442,0.418,1.4,2.3,0.6,0.7,1.0,1.7,3.0,1.0,0.1,1.7,2.0,5.5,0,21.0,6.0,7.0,2.0,2.0,18.8,['STBONNY'],,0,0,0,,,
0,João Vianna,1991-92,25.0,['DAL'],NBA,SF,1.0,0.0,9.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0,2.0,,2.0,,,0.2,,,0,0,0,,,
0,Bob Verga,1967-68,22.0,['DLC' 'TOT' 'DNR' 'NYA' 'HSM' 'CAR' 'PTC' 'POR'],ABA,SG,82.0,,41.6,10.6,24.2,0.458,0.8,2.6,0.381,9.8,21.6,0.466,0.462,6.5,8.5,0.811,2.7,3.1,5.2,4.1,0.6,0.0,4.2,3.5,27.5,1,49.0,13.0,14.0,2.0,,,['DUKE'],,1,0,0,6,1967,1.0
0,Nick Vanos,1985-86,22.0,['PHO'],NBA,C,57.0,14.0,18.4,2.1,6.5,0.411,0.0,0.0,0.0,2.1,6.5,0.417,0.411,0.7,2.1,0.644,1.9,3.5,5.5,1.5,0.3,0.5,1.8,3.1,4.9,0,14.0,13.0,6.0,2.0,2.0,12.9,['SANTACLARA'],,0,0,0,8,1985,
0,Jackson Vroman,2004-05,23.0,['TOT' 'PHO' 'NOH' 'NOK'],NBA,"C,PF",46.0,18.0,18.0,2.1,5.1,0.415,0.0,0.1,0.0,2.1,5.0,0.422,0.415,1.2,1.9,0.647,1.6,2.9,4.5,0.9,0.6,0.5,1.6,2.6,5.4,1,17.0,13.0,4.0,4.0,4.0,16.8,['IOWAST'],,0,0,0,2,2004,
0,Danny Vranes,1981-82,23.0,['SEA' 'PHI'],NBA,SF,82.0,73.0,28.5,3.2,6.2,0.546,0.0,0.1,0.25,3.2,6.2,0.548,0.546,1.9,3.0,0.648,2.2,3.7,5.7,2.0,1.0,0.8,1.6,3.4,8.4,0,24.0,15.0,8.0,6.0,6.0,25.1,['UTAH'],,0,0,0,5,1981,
0,Jake Voskuhl,2000-01,23.0,['CHI' 'PHO' 'CHA' 'MIL' 'TOR'],NBA,C,73.0,43.0,24.3,2.3,5.1,0.564,0.0,0.1,0.333,2.3,5.1,0.564,0.564,2.0,2.7,0.828,1.9,3.3,5.2,0.9,0.6,0.5,1.2,3.9,6.6,0,20.0,16.0,4.0,4.0,4.0,17.6,['UCONN'],https://www.basketball-reference.com/req/202106291/images/headshots/voskuja01.jpg,0,0,0,4,2000,
0,Norm Van Lier,1969-70,22.0,['CIN' 'TOT' 'CHI' 'MIL'],NBA,PG,82.0,,40.5,5.9,13.9,0.456,,,,,,,,4.4,5.4,0.904,1.8,3.6,7.1,10.1,2.0,0.3,2.6,4.2,16.0,1,42.0,15.0,18.0,8.0,2.0,24.2,['STFRANPA'],https://www.basketball-reference.com/req/202106291/images/headshots/vanlino01.jpg,3,0,0,5,1969,16.0
0,David Vaughn,1995-96,22.0,['ORL' 'TOT' 'GSW' 'CHI' 'NJN'],NBA,PF,40.0,6.0,14.6,2.1,5.2,1.0,0.0,0.0,0.0,2.1,5.1,1.0,1.0,1.0,1.5,0.8,1.5,3.1,4.6,0.8,0.5,0.8,1.4,2.3,5.2,1,12.0,13.0,4.0,3.0,3.0,12.4,['MEMPHIS'],https://www.basketball-reference.com/req/202106291/images/headshots/vaughda02.jpg,0,0,0,25,1995,
0,Dennis Van Zant,1975-76,23.0,['SAA'],ABA,PF,1.0,,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0,2.0,1.0,,,,,,,0,0,0,12,1974,
0,Ernie Vandeweghe,1949-50,21.0,['NYK'],NBA,,61.0,,28.6,4.5,10.2,0.438,,,,,,,,3.1,4.0,1.0,,,5.6,2.9,,,,4.0,12.0,0,29.0,9.0,8.0,,,,['COLGATE'],,0,0,0,,1949,
0,Loy Vaught,1990-91,22.0,['LAC' 'DET' 'TOT' 'DAL' 'WAS'],NBA,PF,82.0,82.0,37.1,7.6,14.8,0.537,0.1,0.4,0.8,7.5,14.4,0.541,0.537,2.2,3.1,1.0,3.3,7.6,10.1,1.7,1.3,0.5,2.1,3.3,17.5,1,33.0,21.0,7.0,6.0,4.0,32.5,['MICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/vaughlo01.jpg,0,0,0,13,1990,
