,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,"Career high, Blocks",Triple-Doubles
0,Lee Nailon,1999-00,24.0,['CHH' 'NYK' 'TOT' 'ATL' 'ORL' 'CLE' 'NOH' 'PHI'],Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),79.0,51.0,29.7,6.1,12.8,0.5,0.0,0.1,0.5,6.1,12.8,0.5,0.5,2.0,2.4,0.867,1.9,2.5,4.4,1.6,0.7,0.3,1.6,2.8,14.2,1,32.0,11.0,7.0,5.0,32.0,['BUTLERCOCC' 'TXCHRIST'],,0,0,0,14,1999,3.0,
0,Martin Nessley,1987-88,22.0,['TOT' 'LAC' 'SAC'],NBA,C,44.0,0.0,8.4,0.5,1.4,0.667,0.0,0.0,,0.5,1.4,0.667,0.667,0.2,0.4,0.5,0.6,1.5,2.1,0.5,0.2,0.3,0.6,2.2,1.2,1,6.0,7.0,2.0,1.0,5.2,['DUKE'],,0,0,0,2,1987,2.0,
0,Abdel Nader,2017-18,24.0,['BOS' 'OKC' 'PHO'],NBA,SF,61.0,6.0,15.8,2.4,4.8,0.491,0.9,2.3,0.419,1.6,3.0,0.556,0.569,1.2,1.5,0.773,0.3,2.3,2.6,0.8,0.6,0.4,0.8,1.4,6.7,0,23.0,9.0,3.0,2.0,21.2,['NILLINOIS' 'IOWAST'],https://www.basketball-reference.com/req/202106291/images/headshots/naderab01.jpg,0,0,0,28,2016,4.0,
0,Mike Novak,1948-49,33.0,['ROC' 'TOT' 'PHW' 'SYR'],BAA,,60.0,,4.8,2.1,6.1,0.342,,,,,,,,1.2,2.1,1.0,,,0.4,1.9,,,,3.1,5.3,1,14.0,1.0,6.0,,,,,0,0,0,,,,
0,Makhtar N'Diaye,1998-99,25.0,['VAN'],NBA,PF,4.0,0.0,6.8,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.8,1.0,0.75,0.8,0.5,1.3,0.3,0.0,0.3,0.3,2.3,1.3,0,4.0,4.0,1.0,,2.9,['MICHIGAN' 'UNC'],,0,0,0,,,1.0,
0,Swen Nater,1973-74,24.0,['TOT' 'VIR' 'SAA' 'NYA' 'MIL' 'BUF' 'SDC' 'LAL'],ABA,C,82.0,7.0,35.6,6.4,12.7,0.577,0.0,0.1,1.0,6.4,12.7,0.575,0.58,3.0,4.3,1.0,4.7,11.7,16.4,2.9,0.8,1.1,3.2,3.6,15.6,1,35.0,33.0,10.0,4.0,36.5,['UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/natersw01.jpg,2,0,0,16,1973,5.0,1.0
0,Gary Neal,2010-11,26.0,['SAS' 'TOT' 'MIL' 'CHA' 'CHO' 'MIN' 'WAS' 'ATL'],NBA,SG,80.0,17.0,23.8,4.1,9.5,0.465,1.6,3.9,0.419,3.1,6.7,0.489,0.553,2.6,3.0,1.0,0.3,3.2,3.2,2.1,0.6,0.1,1.3,1.9,11.8,1,29.0,9.0,7.0,4.0,22.8,['LASALLE' 'TOWSON'],https://www.basketball-reference.com/req/202106291/images/headshots/nealga01.jpg,0,0,0,,,1.0,
0,Boris Nachamkin,1954-55,21.0,['ROC'],NBA,,6.0,,9.8,1.0,3.3,0.3,,,,,,,,1.3,2.2,0.615,,,3.2,0.5,,,,1.0,3.3,0,11.0,,,,,['NEWYORKU'],,0,0,0,7,1954,,
0,Chuck Noble,1955-56,24.0,['FTW' 'DET'],NBA,SG,75.0,,28.0,4.8,13.3,0.36,,,,,,,,2.0,2.7,0.749,,,3.6,4.6,,,,3.5,11.3,0,29.0,9.0,10.0,,,['LOUISVILLE'],,1,0,0,3,1954,,
0,Melvin Newbern,1992-93,25.0,['DET'],NBA,SG,33.0,1.0,9.4,1.3,3.4,0.372,0.0,0.2,0.125,1.2,3.2,0.39,0.376,1.0,1.8,0.567,0.6,0.5,1.1,1.7,0.7,0.0,1.0,1.3,3.6,0,20.0,5.0,8.0,4.0,21.1,['MINNESOTA'],,0,0,0,,,1.0,
