,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Harry Dinnel,1967-68,27.0,['ANA'],ABA,,11.0,,7.9,0.5,1.7,0.316,0.0,0.0,,0.5,1.7,0.316,0.316,0.6,0.7,0.875,,,2.1,0.5,,,0.7,1.3,1.7,0,10.0,1.0,,,,,,['PEPPERDINE'],,0,0,0,3,1963
0,Monti Davis,1980-81,22.0,['TOT' 'PHI' 'DAL'],NBA,PF,2.0,,8.0,1.0,4.0,1.0,0.0,0.0,,1.0,4.0,1.0,1.0,1.0,5.0,0.2,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1,2.0,3.0,,,1.0,-1.0,,['TENNST'],,0,0,0,21,1980
0,Red Davis,1955-56,23.0,['ROC'],NBA,,3.0,,5.3,0.0,2.0,0.0,,,,,,,,0.7,0.7,1.0,,,1.3,0.3,,,,0.7,0.7,0,2.0,1.0,,,,,,['STJOHNS'],,0,0,0,7,1954
0,Bill Dinwiddie,1967-68,24.0,['CIN' 'BOS' 'MIL'],NBA,SF,69.0,,14.9,2.1,5.4,0.394,,,,,,,,0.9,1.5,0.73,,,3.5,0.8,,,,2.1,5.1,0,20.0,13.0,4.0,,,,,,,0,0,0,,
0,Warren Davis,1967-68,24.0,['ANA' 'LAS' 'TOT' 'PTP' 'FLO' 'CAR' 'MMP' 'MMT'],ABA,PF,86.0,,33.7,6.4,14.0,0.502,0.0,0.1,1.0,6.3,13.9,0.505,0.502,4.2,6.5,0.772,4.1,8.6,12.0,4.1,,,3.5,4.0,17.0,1,34.0,23.0,8.0,,,,,,https://www.basketball-reference.com/req/202106291/images/headshots/daviswa02.jpg,2,0,0,2,1965
0,Mike Dabich,1967-68,25.0,['TOT' 'OAK' 'DLC'],ABA,,10.0,,7.7,1.3,2.3,0.8,0.0,0.0,,1.3,2.3,0.8,0.8,0.7,1.7,0.5,,,2.3,0.3,,,0.7,2.3,3.3,1,5.0,2.0,,,,,,['NMSTATE'],,0,0,0,1,1966
0,Bob Doll,1946-47,27.0,['STB' 'BOS'],BAA,,60.0,,,4.1,15.7,0.346,,,,,,,,2.3,3.5,0.684,,,,2.5,,,,2.8,10.6,0,25.0,,6.0,,,,,,,0,0,0,,
0,Branden Dawson,2015-16,22.0,['LAC'],NBA,PF,6.0,0.0,4.8,0.3,0.8,0.4,0.0,0.0,,0.3,0.8,0.4,0.4,0.2,0.2,1.0,0.3,0.3,0.7,0.0,0.0,0.2,0.0,0.3,0.8,0,3.0,3.0,,,1.0,2.7,,['MICHIGANST'],https://www.basketball-reference.com/req/202106291/images/headshots/dawsobr01.jpg,0,0,0,26,2015
0,Bob Davis,1972-73,22.0,['POR'],NBA,SF,9.0,,4.6,0.7,3.1,0.214,,,,,,,,0.4,0.7,0.667,,,0.6,0.2,,,,0.6,1.8,0,6.0,2.0,1.0,,,,,['WEBERST'],,0,0,0,1,1972
0,Danny Doyle,1962-63,22.0,['DET'],NBA,PF,4.0,,6.3,1.5,3.0,0.5,,,,,,,,1.0,1.3,0.8,,,2.0,0.8,,,,1.0,4.0,0,5.0,3.0,1.0,,,,,,,0,0,0,3,1961
0,Javin DeLaurier,2021-22,23.0,['MIL'],NBA,C,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,,1.0,,1.0,,0.9,,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/delauja01.jpg,0,0,0,,
0,Earl Dodd,1949-50,25.0,['DNN'],NBA,,9.0,,,0.7,3.0,0.222,,,,,,,,0.3,0.6,0.6,,,,0.7,,,,1.4,1.7,0,5.0,,,,,,,,,0,0,0,,1949
0,Joe Dumars,1985-86,22.0,['DET'],NBA,SG,82.0,82.0,40.2,8.8,18.9,0.505,2.3,5.9,0.483,7.6,15.6,0.506,0.539,5.0,5.8,0.9,1.0,2.0,2.8,5.7,1.1,0.2,3.3,2.5,23.5,0,45.0,10.0,15.0,5.0,2.0,42.5,,['MCNEESE'],https://www.basketball-reference.com/req/202106291/images/headshots/dumarjo01.jpg,6,2,0,18,1985
0,Zoran Dragić,2014-15,25.0,['TOT' 'PHO' 'MIA'],NBA,SG,16.0,1.0,6.2,0.9,2.2,0.409,0.3,0.9,0.333,0.6,1.3,0.667,0.477,0.3,0.5,0.667,0.3,0.2,0.5,0.4,0.2,0.0,0.5,0.5,2.2,1,22.0,3.0,2.0,2.0,,14.2,,,https://www.basketball-reference.com/req/202106291/images/headshots/dragizo01.jpg,0,0,0,,
0,Sherman Douglas,1989-90,23.0,['MIA' 'TOT' 'BOS' 'MIL' 'NJN' 'LAC'],NBA,PG,81.0,79.0,35.8,7.3,14.5,0.516,0.6,1.5,0.379,7.2,14.0,0.542,0.547,3.9,5.7,0.893,1.1,1.9,2.9,8.8,1.8,0.2,3.7,2.4,18.5,1,42.0,10.0,22.0,6.0,2.0,37.1,1.0,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/douglsh01.jpg,0,0,0,1,1989
0,Corky Devlin,1955-56,24.0,['FTW' 'MNL'],NBA,SG,71.0,,22.2,2.9,7.8,0.378,,,,,,,,2.1,2.8,0.773,,,2.5,2.4,,,,1.7,7.9,0,31.0,12.0,6.0,,,,,['GEORGEWASH'],,0,0,0,3,1955
0,Quintin Dailey,1982-83,22.0,['CHI' 'LAC' 'SEA'],NBA,SG,82.0,51.0,29.9,7.1,15.0,0.474,0.1,0.4,0.233,7.1,14.6,0.484,0.476,4.7,5.7,0.823,1.1,2.3,3.4,3.7,1.3,0.2,2.7,3.3,18.2,0,44.0,10.0,12.0,5.0,2.0,35.9,,['SANFRAN'],,0,0,0,7,1982
