,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Alex English,1976-77,23.0,['MIL' 'IND' 'TOT' 'DEN' 'DAL'],NBA,SF,82.0,82.0,38.2,11.8,23.4,0.551,0.1,0.2,0.667,11.7,23.2,0.553,0.551,6.3,7.3,0.88,4.3,5.1,9.4,5.3,1.4,1.5,3.8,3.3,29.8,1,54.0,20.0,16.0,5.0,6.0,44.2,['SCAROLINA'],https://www.basketball-reference.com/req/202106291/images/headshots/englial01.jpg,8,0,0,6,1976,5.0
0,Tyler Ennis,2014-15,20.0,['TOT' 'PHO' 'MIL' 'HOU' 'LAL'],NBA,PG,54.0,11.0,17.8,3.0,6.5,0.451,1.0,2.5,0.389,2.0,4.1,0.489,0.524,0.9,1.0,1.0,0.4,1.4,1.8,2.4,0.9,0.3,1.4,1.4,7.7,1,22.0,7.0,12.0,3.0,2.0,20.1,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/ennisty01.jpg,0,0,0,18,2014,
0,Jawun Evans,2017-18,21.0,['LAC' 'TOT' 'PHO' 'OKC'],NBA,PG,48.0,4.0,16.2,1.9,5.3,0.352,0.3,1.1,0.278,1.5,4.1,0.372,0.381,0.8,1.0,0.776,0.2,1.6,1.8,2.1,0.8,0.1,0.9,2.0,4.8,1,15.0,8.0,7.0,5.0,2.0,16.0,['OKSTATE'],https://www.basketball-reference.com/req/202106291/images/headshots/evansja01.jpg,0,0,0,9,2017,
0,Rich Eichhorst,1961-62,28.0,['STL'],NBA,,1.0,,10.0,1.0,2.0,0.5,,,,,,,,0.0,0.0,,,,1.0,3.0,,,,1.0,2.0,0,2.0,1.0,3.0,,,,,,0,0,0,,,
0,Bill Edwards,1993-94,22.0,['PHI'],NBA,PF,3.0,0.0,14.7,0.7,6.0,0.111,0.0,1.7,0.0,0.7,4.3,0.154,0.111,0.7,1.7,0.4,1.7,3.0,4.7,1.3,1.0,0.3,1.3,2.0,2.0,0,4.0,8.0,2.0,2.0,1.0,1.8,['WRIGHTST'],,0,0,0,,,
0,Bo Erias,1957-58,25.0,['MNL'],NBA,SF,18.0,,22.3,3.3,9.4,0.347,,,,,,,,1.7,2.6,0.638,,,4.6,1.4,,,,2.9,8.2,0,17.0,6.0,3.0,,,,,,0,0,0,7,1954,
0,Bulbs Ehlers,1947-48,24.0,['BOS'],BAA,,59.0,,,3.1,10.4,0.312,,,,,,,,2.5,3.8,0.667,,,,2.3,,,,2.3,8.7,0,24.0,,3.0,,,,,,0,0,0,3,1947,
0,Kevin Edwards,1988-89,23.0,['MIA' 'NJN' 'TOT' 'ORL' 'VAN'],NBA,SG,82.0,82.0,33.3,5.9,14.0,0.468,1.3,3.2,0.5,5.8,13.5,0.474,0.506,3.0,3.5,0.952,1.2,2.6,3.6,4.4,1.8,0.6,3.1,3.0,14.0,1,34.0,12.0,12.0,6.0,4.0,29.9,['DEPAUL'],,0,0,0,20,1988,
0,Drew Eubanks,2018-19,21.0,['SAS' 'TOT' 'POR'],NBA,PF,78.0,31.0,29.5,6.2,9.6,0.646,0.2,0.7,1.0,6.0,9.0,0.675,0.656,1.8,2.3,0.846,3.0,5.5,8.5,1.6,0.8,1.3,1.6,2.8,14.5,1,27.0,16.0,5.0,3.0,6.0,32.9,['OREGONST'],https://www.basketball-reference.com/req/202106291/images/headshots/eubandr01.jpg,0,0,0,,,
0,CJ Elleby,2020-21,20.0,['POR'],NBA,SF,58.0,28.0,20.2,2.1,5.3,0.393,0.6,2.2,0.294,1.4,3.1,0.563,0.453,1.0,1.4,0.733,1.1,2.8,3.9,1.5,0.6,0.3,1.0,2.0,5.8,0,17.0,13.0,7.0,3.0,2.0,17.8,['WASHST'],https://www.basketball-reference.com/req/202106291/images/headshots/ellebcj01.jpg,0,0,0,16,2020,
0,Patrick Eddie,1991-92,24.0,['NYK'],NBA,C,4.0,0.0,3.3,0.5,2.3,0.222,0.0,0.0,,0.5,2.3,0.222,0.222,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.8,1.0,0,2.0,1.0,,,,0.3,['ARKANSASST' 'OLEMISS'],,0,0,0,,,
0,Wayne Ellington,2009-10,22.0,['MIN' 'TOT' 'MEM' 'CLE' 'DAL' 'LAL' 'BRK' 'MIA' 'DET' 'NYK'],NBA,SG,78.0,41.0,27.3,4.1,9.8,0.441,2.9,7.8,0.424,2.5,5.8,0.615,0.612,1.4,1.6,0.938,0.5,2.8,3.2,1.6,1.1,0.2,1.0,1.9,12.0,1,32.0,10.0,6.0,5.0,2.0,27.4,['UNC'],https://www.basketball-reference.com/req/202106291/images/headshots/ellinwa01.jpg,0,0,0,28,2009,
