,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Game Score","Career high, Blocks",Triple-Doubles
0,Mark Olberding,1975-76,19.0,['TOT' 'SDS' 'SAA' 'SAS' 'CHI' 'KCK' 'SAC'],ABA,"PF,SF",82.0,81.0,39.5,6.3,13.1,0.558,4.0,5.0,0.885,9.5,4.4,4.7,15.3,1,30.0,17.0,12.0,['MINNESOTA'],https://www.basketball-reference.com/req/202106291/images/headshots/olberma01.jpg,0,0,0,,,0.0,0.2,0.167,6.3,13.1,0.561,0.558,3.2,6.4,0.9,0.6,2.5,6.0,27.5,4.0,
0,Bob O'Brien,1947-48,21.0,['PHW' 'TOT' 'STB'],BAA,,24.0,,,0.8,3.7,0.278,0.9,2.3,0.577,,0.5,1.8,2.2,1,12.0,,2.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Victor Oladipo,2013-14,21.0,['ORL' 'OKC' 'IND' 'TOT' 'HOU' 'MIA'],NBA,PG,80.0,75.0,35.7,8.5,19.1,0.479,3.9,4.9,0.83,5.7,5.2,3.3,23.1,1,47.0,15.0,14.0,['INDIANA'],https://www.basketball-reference.com/req/202106291/images/headshots/oladivi01.jpg,2,0,0,2,2013,2.8,7.7,0.417,6.4,12.1,0.541,0.582,0.8,5.6,2.4,0.8,3.5,7.0,39.8,4.0,2.0
0,Billy Owens,1991-92,22.0,['GSW' 'MIA' 'TOT' 'SAC' 'SEA' 'PHI' 'DET'],NBA,PF,80.0,78.0,34.7,6.7,13.3,0.525,3.2,4.9,0.8,8.1,4.1,3.5,16.5,1,34.0,22.0,11.0,['SYRACUSE'],,0,0,0,3,1991,0.4,1.1,0.455,6.6,13.0,0.529,0.526,3.0,5.3,1.2,0.8,2.9,6.0,36.6,4.0,1.0
0,Ray Owes,1996-97,24.0,['GSW'],NBA,PF,57.0,1.0,10.4,1.3,3.2,0.417,0.5,0.8,0.565,2.9,0.3,1.5,3.1,0,18.0,12.0,2.0,['ARIZONA'],,0,0,0,,,0.0,0.1,0.2,1.3,3.1,0.423,0.419,1.1,1.7,0.3,0.4,0.4,2.0,15.8,2.0,
0,Chuma Okeke,2020-21,22.0,['ORL'],NBA,PF,70.0,20.0,25.2,3.1,8.2,0.417,0.8,0.9,0.846,5.0,2.2,1.5,8.6,0,26.0,11.0,7.0,['AUBURN'],https://www.basketball-reference.com/req/202106291/images/headshots/okekech01.jpg,0,0,0,16,2019,1.7,5.3,0.348,1.9,4.1,0.48,0.492,1.0,4.3,1.4,0.6,0.8,6.0,29.7,3.0,
0,Ralph O'Brien,1951-52,23.0,['INO' 'TOT' 'FTW' 'BLB'],NBA,SG,64.0,,24.6,3.6,9.6,0.417,1.9,2.3,0.877,1.9,1.9,2.1,9.0,1,26.0,4.0,6.0,['BUTLER'],,0,0,0,9,1950,,,,,,,,,,,,,,,,
0,Tariq Owens,2019-20,24.0,['PHO'],NBA,PF,3.0,0.0,5.0,0.3,1.7,0.2,0.7,0.7,1.0,1.0,0.0,0.3,1.3,0,2.0,2.0,,['TENNESSEE' 'STJOHNS' 'TXTECH'],https://www.basketball-reference.com/req/202106291/images/headshots/owensta01.jpg,0,0,0,,,0.0,0.7,0.0,0.3,1.0,0.333,0.2,0.7,0.3,0.3,0.0,0.0,1.0,1.2,,
0,Kelly Olynyk,2013-14,22.0,['BOS' 'MIA' 'TOT' 'HOU' 'DET' 'UTA'],NBA,C,79.0,68.0,31.1,6.5,11.9,0.545,4.2,5.0,0.86,8.4,4.1,3.4,19.0,1,32.0,18.0,11.0,['GONZAGA'],https://www.basketball-reference.com/req/202106291/images/headshots/olynyke01.jpg,0,0,0,13,2013,1.8,5.7,0.406,4.7,7.3,0.643,0.621,2.0,6.9,1.4,0.6,2.6,5.0,30.4,4.0,
0,Grady O'Malley,1969-70,21.0,['ATL'],NBA,,24.0,,4.7,0.9,2.5,0.35,0.3,0.8,0.421,1.1,0.4,0.5,2.1,0,8.0,5.0,3.0,['MANHATTAN'],,0,0,0,3,1969,,,,,,,,,,,,,,,,
0,Larry Owens,2010-11,28.0,['TOT' 'SAS' 'WAS' 'NJN'],NBA,SF,12.0,0.0,22.4,2.4,5.2,0.5,0.4,1.0,0.75,2.2,1.4,2.8,6.2,1,10.0,6.0,4.0,['ORALROB'],https://www.basketball-reference.com/req/202106291/images/headshots/owensla01.jpg,0,0,0,,,1.0,2.0,0.5,1.4,3.2,0.667,0.583,0.3,2.0,1.4,1.0,1.0,4.0,9.3,2.0,
0,Tommy O'Keefe,1950-51,22.0,['TOT' 'WSC' 'BLB'],NBA,,6.0,,,1.7,5.0,0.385,0.7,1.0,1.0,1.3,2.7,1.3,4.0,1,6.0,,4.0,,,0,0,0,5,1950,,,,,,,,,,,,,,,,
0,Charles O'Bannon,1997-98,22.0,['DET'],NBA,SG,30.0,1.0,9.2,1.3,3.1,0.429,0.4,0.5,1.0,1.9,0.7,1.2,3.1,0,14.0,7.0,5.0,['UCLA'],,0,0,0,3,1997,0.0,0.1,0.0,1.3,3.1,0.436,0.429,1.0,0.9,0.3,0.2,0.4,2.0,14.7,2.0,
0,Bo Outlaw,1993-94,22.0,['LAC' 'ORL' 'TOT' 'PHO' 'MEM'],NBA,SF,83.0,76.0,36.0,3.7,6.6,0.667,2.2,3.8,0.625,7.8,3.0,3.2,9.5,1,29.0,17.0,10.0,['SPLAINS' 'HOUSTON'],https://www.basketball-reference.com/req/202106291/images/headshots/outlabo01.jpg,0,0,0,,,0.0,0.1,0.5,3.7,6.6,0.667,0.667,3.1,5.1,1.4,2.2,2.1,6.0,33.1,9.0,2.0
0,Kyle O'Quinn,2012-13,22.0,['ORL' 'NYK' 'IND' 'PHI'],NBA,C,79.0,19.0,18.0,2.9,5.4,0.583,1.3,1.6,0.81,6.1,2.1,2.5,7.1,0,23.0,16.0,11.0,['NORFOLKST'],https://www.basketball-reference.com/req/202106291/images/headshots/oquinky01.jpg,0,0,0,19,2012,0.2,0.9,0.279,2.9,5.3,0.603,0.589,2.0,4.5,0.6,1.3,1.3,5.0,24.9,6.0,
0,Andre Owens,2005-06,25.0,['UTA' 'IND'],NBA,PG,31.0,7.0,12.6,1.3,3.5,0.374,0.8,1.1,0.735,1.5,1.5,1.2,4.0,0,15.0,6.0,5.0,['INDIANA' 'HOUSTON'],,0,0,0,,,0.6,1.3,0.45,1.0,2.5,0.414,0.458,0.5,1.1,0.4,0.1,0.8,2.0,14.8,1.0,
0,Matt Othick,1992-93,23.0,['SAS'],NBA,PG,4.0,0.0,9.8,0.8,1.3,0.6,0.0,0.5,0.0,0.5,1.8,1.8,2.0,0,6.0,1.0,4.0,['ARIZONA'],,0,0,0,,,0.5,1.0,0.5,0.3,0.3,1.0,0.8,0.3,0.3,0.3,0.0,1.0,1.0,3.4,,
0,Cameron Oliver,2020-21,24.0,['HOU' 'ATL'],NBA,SF,4.0,0.0,21.8,5.0,8.3,0.667,1.0,1.5,0.667,5.3,1.5,2.8,11.5,0,17.0,12.0,2.0,['NEVADA'],https://www.basketball-reference.com/req/202106291/images/headshots/oliveca01.jpg,0,0,0,,,1.0,3.3,0.333,4.5,6.0,0.75,0.7,1.3,4.0,0.5,1.0,0.8,1.0,13.8,3.0,
0,Don Otten,1949-50,28.0,['TOT' 'TRI' 'WSC' 'BLB' 'FTW' 'MLH'],NBA,C,67.0,,30.3,4.3,10.9,0.391,6.4,8.2,0.875,7.3,2.1,3.9,14.9,1,28.0,22.0,3.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Red Owens,1949-50,24.0,['TOT' 'TRI' 'AND' 'BLB' 'MLH'],NBA,SG,61.0,,28.5,2.9,9.1,0.342,2.4,3.9,0.678,3.7,3.2,4.1,8.0,1,21.0,5.0,3.0,,,0,0,0,9,1949,,,,,,,,,,,,,,,,
0,Chuck Osborne,1961-62,23.0,['SYR'],NBA,PF,4.0,,5.3,0.3,2.0,0.125,0.8,1.0,0.75,2.3,0.3,0.8,1.3,0,3.0,4.0,1.0,,,0,0,0,5,1961,,,,,,,,,,,,,,,,
0,Buddy O'Grady,1946-47,27.0,['WSC' 'STB' 'TOT' 'PRO'],BAA,,55.0,,,1.9,6.9,0.295,1.1,1.5,0.739,,1.5,1.4,4.8,1,18.0,,1.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Kevin Ollie,1997-98,25.0,"['TOT' 'DAL' 'ORL' 'SAC' 'PHI' 'NJN' 'CHI' 'IND' 'MIL' 'SEA' 'CLE' 'MIN'
 'OKC']",NBA,PG,82.0,23.0,26.6,2.8,6.4,0.459,2.7,3.3,1.0,2.9,3.8,1.8,8.0,1,19.0,10.0,12.0,['UCONN'],,0,0,0,,,0.0,0.1,1.0,2.8,6.4,0.464,0.461,0.4,2.4,1.1,0.1,1.5,4.0,19.7,2.0,
0,Cedi Osman,2017-18,22.0,['CLE'],NBA,SF,77.0,75.0,32.2,4.7,11.1,0.484,1.9,2.4,0.8,4.7,2.9,2.6,13.0,0,29.0,12.0,12.0,,https://www.basketball-reference.com/req/202106291/images/headshots/osmande01.jpg,0,0,0,1,2015,1.9,5.5,0.383,3.0,6.2,0.586,0.57,0.6,4.1,0.9,0.2,1.5,4.0,29.0,2.0,
0,Johnny O'Bryant,2014-15,21.0,['MIL' 'TOT' 'DEN' 'CHO'],NBA,PF,66.0,15.0,13.0,2.0,4.8,0.533,0.6,0.8,1.0,2.7,1.0,1.5,4.8,1,16.0,9.0,3.0,['LSU'],https://www.basketball-reference.com/req/202106291/images/headshots/obryajo01.jpg,0,0,0,6,2014,0.4,1.2,1.0,1.8,3.6,0.583,0.567,1.0,1.8,0.3,0.2,0.8,3.0,14.0,2.0,
0,Dick O'Keefe,1947-48,24.0,['WSC'],BAA,,68.0,,,2.4,7.8,0.306,2.2,3.0,0.739,2.2,1.5,3.6,7.0,0,24.0,7.0,3.0,,,0,0,0,9,1947,,,,,,,,,,,,,,,,
0,Louis Orr,1980-81,22.0,['IND' 'NYK'],NBA,SF,82.0,64.0,31.0,4.7,10.0,0.497,3.3,4.2,0.82,4.9,2.4,2.5,12.7,0,28.0,12.0,7.0,['SYRACUSE'],,0,0,0,6,1980,0.0,0.1,0.2,4.7,10.0,0.501,0.497,2.2,2.8,1.3,0.4,1.7,4.0,25.8,3.0,
0,Dan O'Sullivan,1990-91,22.0,['UTA' 'TOT' 'NJN' 'MIL' 'DET' 'TOR'],NBA,C,21.0,2.0,27.8,2.6,7.0,0.667,1.4,1.6,0.875,6.4,0.4,2.6,6.6,1,15.0,10.0,1.0,['FORDHAM'],,0,0,0,,,0.0,0.2,0.0,2.6,6.8,0.667,0.667,2.6,3.8,0.4,0.8,1.0,2.0,10.2,2.0,
0,Jim O'Brien,1973-74,22.0,['NYA' 'MMS'],ABA,SF,47.0,,13.0,1.9,4.3,0.433,1.0,1.4,0.783,2.6,1.7,1.2,4.9,0,23.0,9.0,6.0,['MARYLAND'],,0,1,0,2,1973,0.1,0.6,0.231,1.7,3.8,0.463,0.448,1.2,1.6,0.8,0.5,1.6,3.0,,1.0,
0,Isaac Okoro,2020-21,20.0,['CLE'],NBA,SG,76.0,67.0,32.4,3.5,8.3,0.494,1.8,2.3,0.768,3.1,1.9,2.8,9.6,0,32.0,10.0,6.0,['AUBURN'],https://www.basketball-reference.com/req/202106291/images/headshots/okorois01.jpg,0,0,0,5,2020,0.9,3.2,0.363,2.6,5.1,0.617,0.582,1.1,2.1,0.9,0.4,1.3,4.0,29.9,3.0,
0,Greg Oden,2007-08,20.0,['POR' 'MIA'],Did Not Play (injury—knee),Did Not Play (injury—knee),61.0,39.0,23.9,4.4,7.2,0.605,2.4,3.7,0.766,8.5,0.9,4.0,11.1,0,24.0,20.0,3.0,['OHIOST'],https://www.basketball-reference.com/req/202106291/images/headshots/odengr01.jpg,0,0,0,1,2007,0.0,0.0,,4.4,7.2,0.605,0.605,3.0,5.4,0.4,2.3,1.9,3.0,24.9,6.0,
