,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Game Score","Career high, Blocks",Triple-Doubles
0,Miye Oni,2019-20,22.0,['UTA'],NBA,SF,54.0,1.0,10.9,1.2,3.2,0.375,0.4,0.5,0.833,1.7,0.5,1.1,3.5,0,14.0,7.0,3.0,['YALE'],https://www.basketball-reference.com/req/202106291/images/headshots/onimi01.jpg,0,0,0,28,2019,0.7,1.9,0.368,0.5,1.3,1.0,0.505,0.5,1.2,0.4,0.2,0.4,1.0,11.4,3.0,
0,José Ortiz,1988-89,25.0,['UTA'],NBA,PF,51.0,15.0,6.4,1.5,3.2,0.452,0.6,1.0,0.6,1.2,0.5,1.2,3.2,0,15.0,6.0,4.0,['OREGONST'],,0,0,0,15,1987,0.1,0.2,0.5,1.4,3.1,0.45,0.464,0.6,0.5,0.2,0.1,0.7,1.0,10.6,2.0,
0,Elie Okobo,2018-19,21.0,['PHO'],NBA,PG,55.0,16.0,18.1,2.2,5.5,0.398,0.9,1.3,0.787,1.8,2.4,2.1,5.7,0,19.0,7.0,11.0,,https://www.basketball-reference.com/req/202106291/images/headshots/okoboel01.jpg,0,0,0,1,2018,0.7,2.5,0.352,1.4,3.0,0.475,0.467,0.3,1.6,0.6,0.1,1.3,5.0,16.0,2.0,
0,Wally Osterkorn,1951-52,23.0,['SYR'],NBA,SF,70.0,,30.9,2.9,8.4,0.351,3.0,5.2,0.631,7.0,2.2,3.4,8.8,0,25.0,17.0,8.0,,,0,1,0,6,1950,,,,,,,,,,,,,,,,
0,Fran O'Hanlon,1970-71,22.0,['FLO'],ABA,,14.0,,7.2,0.6,1.6,0.364,0.4,0.6,0.667,0.3,0.9,1.3,1.6,0,8.0,,1.0,['VILLANOVA'],,0,0,0,12,1970,0.0,0.1,0.0,0.6,1.5,0.381,0.364,0.1,0.1,,,1.6,,,,
0,Jimmy O'Brien,1971-72,21.0,['TOT' 'PTC' 'KEN' 'SDA'],ABA,PG,84.0,,25.8,3.5,8.8,0.419,1.6,1.8,0.88,2.6,5.6,2.3,8.6,1,25.0,9.0,16.0,,,0,0,0,2,1971,0.2,0.7,0.333,3.3,8.2,0.427,0.433,0.7,1.9,1.1,0.0,2.4,4.0,12.1,1.0,
0,Michael Olowokandi,1998-99,23.0,['LAC' 'MIN' 'TOT' 'BOS'],NBA,C,82.0,82.0,38.0,5.2,12.1,0.456,1.9,2.9,0.667,9.1,1.3,3.8,12.3,1,30.0,20.0,4.0,['PACIFIC'],,0,0,0,1,1998,0.0,0.0,,5.2,12.1,0.456,0.456,2.7,7.5,0.7,2.2,2.7,3.0,27.5,7.0,
0,KZ Okpala,2019-20,20.0,['MIA' 'SAC'],NBA,PF,37.0,9.0,12.1,1.4,3.3,0.6,0.4,0.5,0.875,2.0,0.7,1.6,3.7,0,17.0,9.0,2.0,['STANFORD'],https://www.basketball-reference.com/req/202106291/images/headshots/okpalkz01.jpg,0,0,0,2,2019,0.4,1.4,0.346,1.0,2.0,0.75,0.6,0.6,1.4,0.4,0.3,0.4,2.0,16.2,3.0,
0,Barry Orms,1968-69,22.0,['BAL' 'TOT' 'INA' 'PTP'],NBA,PG,77.0,,28.6,3.8,9.6,0.425,2.0,3.7,0.654,4.6,1.8,3.3,9.6,1,32.0,13.0,5.0,['STLOUIS'],,0,0,0,4,1968,0.1,0.3,0.217,3.7,9.3,0.459,0.425,1.9,2.7,,,2.1,,,,
0,Ed O'Bannon,1995-96,23.0,['NJN' 'TOT' 'DAL'],NBA,SG,64.0,29.0,19.6,2.4,6.3,0.39,1.2,1.7,0.917,2.6,1.0,1.7,6.2,1,19.0,11.0,5.0,['UCLA'],,0,0,0,9,1995,0.4,1.3,0.283,2.3,5.4,0.424,0.408,1.0,1.6,0.7,0.2,1.0,4.0,19.9,2.0,
