,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Bob Fitzgerald,1946-47,23.0,['TOT' 'TRH' 'NYK' 'ROC'],BAA,,60.0,,,1.5,7.8,0.207,,,,,,,,1.5,2.3,0.7,,,,0.8,,,,2.8,4.5,1,13.0,,,,,,,,0,0,0,,,
0,Michael Foster Jr.,2022-23,20.0,['PHI'],NBA,PF,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,https://www.basketball-reference.com/req/202106291/images/headshots/fostemi02.jpg,0,0,0,,,
0,Danny Ferry,1989-90,23.0,['CLE' 'SAS'],Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),82.0,79.0,32.7,5.1,11.2,0.497,1.7,4.4,0.449,3.4,7.0,0.518,0.568,1.5,1.9,0.944,1.2,3.1,4.1,2.3,0.7,0.6,1.5,3.0,13.3,0,32.0,16.0,8.0,5.0,4.0,26.5,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/ferryda01.jpg,0,1,0,2,1989,
0,Channing Frye,2005-06,22.0,['NYK' 'POR' 'PHO' 'ORL' 'TOT' 'CLE' 'LAL'],NBA,C,82.0,82.0,33.0,4.7,10.8,0.497,2.2,5.7,0.439,4.6,9.7,0.684,0.589,2.9,3.5,0.933,2.1,5.8,6.7,1.4,0.8,1.1,1.5,3.5,12.7,1,33.0,16.0,7.0,4.0,4.0,28.4,['ARIZONA'],https://www.basketball-reference.com/req/202106291/images/headshots/fryech01.jpg,0,1,0,8,2005,
0,Will Frazier,1965-66,23.0,['SFW' 'HSM' 'NYA'],NBA,PF,76.0,,28.0,4.7,11.4,0.424,0.0,0.0,0.5,4.7,11.4,0.424,0.424,3.0,4.9,0.619,2.0,3.6,8.8,1.4,,,1.9,2.9,12.4,0,31.0,18.0,3.0,,,,,,0,0,0,1,1965,
0,Joe Fabel,1946-47,29.0,['PIT'],BAA,,30.0,,,0.8,3.2,0.26,,,,,,,,0.4,0.9,0.5,,,,0.1,,,,2.1,2.1,0,7.0,,,,,,,,0,0,0,,,
0,Mike Farmer,1958-59,22.0,['NYK' 'TOT' 'CIN' 'STL'],NBA,SF,80.0,,22.9,3.2,8.5,0.433,,,,,,,,1.5,1.7,0.843,,,6.6,1.8,,,,2.2,7.5,1,27.0,18.0,10.0,,,,['SANFRAN'],,0,0,0,3,1958,
0,Jerry Fowler,1951-52,24.0,['MLH'],NBA,,6.0,,6.8,0.7,2.2,0.308,,,,,,,,0.2,0.7,0.25,,,1.7,0.3,,,,1.5,1.5,0,3.0,3.0,,,,,['MISSOURI'],,0,0,0,,,
0,Greg Foster,1990-91,22.0,['WSB' 'TOT' 'ATL' 'MIL' 'CHI' 'MIN' 'UTA' 'SEA' 'LAL' 'TOR'],NBA,PF,79.0,49.0,18.6,2.4,5.4,0.571,0.1,0.7,0.667,2.4,5.2,0.571,0.571,1.3,1.8,1.0,1.1,2.5,3.5,1.1,0.2,0.5,1.0,3.2,6.1,1,18.0,15.0,4.0,2.0,3.0,15.1,['UCLA' 'UTEP'],,0,1,0,8,1990,
0,Jim Fox,1965-66,22.0,['TOT' 'CIN' 'DET' 'PHO' 'CHI' 'SEA' 'MIL' 'NYN'],Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),82.0,,38.8,5.4,11.4,0.524,,,,,,,,3.1,4.2,0.833,3.1,6.0,13.3,2.9,0.7,0.4,,4.1,13.8,1,39.0,30.0,10.0,5.0,3.0,,['SCAROLINA'],,0,0,0,6,1965,2.0
0,Kenneth Faried,2011-12,22.0,['DEN' 'TOT' 'BRK' 'HOU'],NBA,PF,80.0,80.0,28.1,5.6,10.3,0.595,0.3,0.8,0.5,5.6,10.2,0.649,0.607,2.7,3.9,0.706,3.5,5.9,9.2,1.2,1.0,1.0,1.7,3.0,13.7,1,34.0,25.0,5.0,4.0,5.0,30.7,['MOREHEAD'],https://www.basketball-reference.com/req/202106291/images/headshots/farieke01.jpg,0,0,0,22,2011,
0,Tony Fuller,1980-81,22.0,['DET'],NBA,SG,15.0,,16.5,1.6,4.4,0.364,0.0,0.1,0.0,1.6,4.3,0.369,0.364,0.8,1.1,0.75,0.9,1.9,2.8,1.9,0.7,0.1,1.5,1.7,4.0,0,9.0,12.0,5.0,2.0,1.0,5.8,['PEPPERDINE'],,0,0,0,1,1980,
0,Jake Fendley,1951-52,22.0,['FTW'],NBA,SG,58.0,,11.2,0.9,2.9,0.4,,,,,,,,1.3,1.6,0.789,,,1.4,1.0,,,,2.0,3.2,0,15.0,4.0,5.0,,,,['NWESTERN'],,0,0,0,4,1951,
0,Danny Finn,1952-53,24.0,['PHW'],NBA,SG,68.0,,32.7,4.4,13.2,0.343,,,,,,,,3.2,5.9,0.643,,,5.6,4.7,,,,4.0,11.9,0,30.0,11.0,12.0,,,,['STJOHNS'],,0,0,0,,,
0,Walt Frazier,1967-68,22.0,['NYK' 'CLE'],NBA,PG,80.0,,43.2,8.7,17.9,0.518,0.0,0.3,0.0,8.7,17.9,0.518,0.518,5.8,7.2,1.0,1.5,5.4,7.3,8.2,2.4,0.3,2.2,3.1,23.2,0,44.0,16.0,16.0,7.0,2.0,26.9,['SILLINOIS'],https://www.basketball-reference.com/req/202106291/images/headshots/fraziwa01.jpg,7,2,0,5,1967,23.0
0,Ed Fleming,1955-56,22.0,['ROC' 'MNL'],NBA,SG,72.0,,28.6,4.3,11.6,0.418,,,,,,,,3.9,5.2,0.768,,,6.9,2.8,,,,3.1,12.5,0,32.0,19.0,9.0,,,,['NIAGARA'],,0,0,0,2,1955,
0,Ron Filipek,1967-68,23.0,['PHI'],NBA,,19.0,,3.8,0.9,2.5,0.383,,,,,,,,0.4,0.7,0.5,,,1.3,0.4,,,,0.6,2.3,0,8.0,3.0,2.0,,,,['TNTECH'],,0,0,0,9,1967,
0,Michael Frazier,2019-20,25.0,['HOU'],NBA,SG,13.0,0.0,11.2,0.5,2.2,0.241,0.3,1.8,0.174,0.2,0.5,0.5,0.31,0.7,1.1,0.643,0.1,0.7,0.8,0.2,0.2,0.0,0.4,1.7,2.1,0,6.0,4.0,1.0,1.0,,3.4,['FLORIDA'],https://www.basketball-reference.com/req/202106291/images/headshots/frazimi01.jpg,0,0,0,,,
0,Bayard Forrest,1977-78,23.0,['PHO'],NBA,C,75.0,,16.6,1.7,3.7,0.466,,,,,,,,0.8,1.6,0.539,1.5,2.7,4.2,2.2,0.4,0.5,1.4,2.0,4.2,0,23.0,15.0,9.0,2.0,4.0,17.0,,,0,0,0,18,1975,
0,Terrance Ferguson,2017-18,19.0,['OKC' 'PHI'],NBA,SG,74.0,74.0,26.1,2.5,5.8,0.429,1.4,3.9,0.366,1.1,1.9,0.612,0.552,0.5,0.7,0.9,0.4,1.5,1.9,1.0,0.5,0.3,0.6,3.1,6.9,0,24.0,7.0,6.0,4.0,2.0,21.2,,https://www.basketball-reference.com/req/202106291/images/headshots/fergute01.jpg,0,0,0,21,2017,
0,Al Ferrari,1955-56,22.0,['STL' 'CHZ'],NBA,SF,79.0,,25.9,3.0,7.9,0.413,,,,,,,,2.5,3.5,0.824,,,2.7,4.0,,,,3.5,8.6,0,34.0,9.0,10.0,,,,['MICHIGANST'],https://www.basketball-reference.com/req/202106291/images/headshots/ferraal01.jpg,0,0,0,1,1955,
0,Sherell Ford,1995-96,23.0,['SEA'],NBA,SF,28.0,1.0,5.0,1.1,2.9,0.375,0.1,0.9,0.16,0.9,2.0,0.473,0.4,0.9,1.2,0.765,0.4,0.4,0.9,0.2,0.3,0.0,0.2,1.0,3.2,0,9.0,4.0,1.0,2.0,1.0,6.9,['ILLCHICAGO'],,0,0,0,26,1995,
0,Lawrence Funderburke,1997-98,27.0,['SAC' 'CHI'],NBA,PF,75.0,2.0,21.0,3.7,7.5,0.559,0.0,0.1,0.2,3.7,7.4,0.565,0.56,2.1,3.1,0.708,2.1,3.0,4.7,1.2,0.5,0.5,1.2,1.6,9.5,0,29.0,15.0,4.0,2.0,3.0,25.0,['INDIANA' 'OHIOST'],,0,0,0,24,1994,
0,Yogi Ferrell,2016-17,23.0,['TOT' 'BRK' 'DAL' 'SAC' 'CLE' 'LAC'],NBA,PG,82.0,29.0,29.1,4.0,10.5,0.435,1.7,4.5,0.403,2.5,6.0,0.505,0.518,1.8,2.0,1.0,1.5,2.7,3.5,4.3,1.5,0.5,1.6,2.2,11.3,1,32.0,11.0,12.0,4.0,2.0,24.6,['INDIANA'],https://www.basketball-reference.com/req/202106291/images/headshots/ferreyo01.jpg,0,0,0,,,
0,Simone Fontecchio,2022-23,27.0,['UTA'],NBA,SF,52.0,6.0,14.7,2.2,6.0,0.369,1.2,3.7,0.33,1.0,2.3,0.43,0.47,0.7,0.8,0.795,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,6.3,0,26.0,9.0,4.0,3.0,1.0,18.5,,https://www.basketball-reference.com/req/202106291/images/headshots/fontesi01.jpg,0,0,0,,,
0,Antonis Fotsis,2001-02,20.0,['MEM'],NBA,PF,28.0,1.0,11.4,1.5,3.7,0.404,0.3,0.8,0.304,1.3,2.9,0.432,0.438,0.6,0.7,0.85,0.9,1.3,2.2,0.4,0.3,0.4,0.8,0.8,3.9,0,21.0,9.0,2.0,2.0,2.0,15.6,,,0,0,0,19,2001,
0,Bob Feerick,1946-47,27.0,['WSC'],BAA,,60.0,,,6.6,17.9,0.401,,,,,,,,4.4,5.1,0.859,,,,3.2,,,,2.9,16.8,0,35.0,,6.0,,,,,,0,0,0,,,
0,Tacko Fall,2019-20,24.0,['BOS' 'CLE'],NBA,C,19.0,1.0,7.2,1.6,2.0,0.786,0.0,0.0,,1.6,2.0,0.786,0.786,0.3,0.8,0.333,0.8,2.0,2.7,0.2,0.1,1.1,0.4,1.2,3.3,0,6.0,10.0,2.0,1.0,4.0,7.3,['CFLORIDA'],https://www.basketball-reference.com/req/202106291/images/headshots/fallta01.jpg,0,0,0,,,
0,Jonny Flynn,2009-10,20.0,['MIN' 'TOT' 'HOU' 'POR'],NBA,PG,81.0,81.0,28.9,4.9,11.8,0.417,1.0,2.7,0.358,4.0,9.1,0.434,0.457,2.8,3.3,0.826,0.4,2.1,2.4,4.4,1.0,0.1,2.9,1.2,13.5,1,29.0,8.0,14.0,4.0,1.0,26.7,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/flynnjo01.jpg,0,0,0,6,2009,
0,Sleepy Floyd,1982-83,22.0,['TOT' 'NJN' 'GSW' 'HOU' 'SAS'],NBA,PG,82.0,82.0,37.8,7.4,16.7,0.506,1.3,3.6,0.545,7.3,15.6,0.53,0.526,6.4,7.7,0.86,1.4,3.6,5.1,10.3,1.9,0.5,3.7,2.8,21.2,1,41.0,13.0,19.0,6.0,4.0,40.8,['GEORGETOWN'],https://www.basketball-reference.com/req/202106291/images/headshots/floydsl01.jpg,1,0,0,13,1982,1.0
0,Greg Fillmore,1970-71,23.0,['NYK'],NBA,C,39.0,,6.9,1.2,2.7,0.441,,,,,,,,0.3,0.7,0.481,,,2.4,0.4,,,,2.1,2.6,0,13.0,10.0,4.0,,,,,,0,0,0,17,1970,
0,Frido Frey,1946-47,25.0,['NYK'],BAA,,23.0,,,1.2,4.2,0.289,,,,,,,,1.4,2.4,0.571,,,,0.6,,,,1.6,3.8,0,11.0,,,,,,,,0,0,0,,,
0,Vítor Luiz Faverani,2013-14,25.0,['BOS'],NBA,C,37.0,8.0,13.2,1.7,4.0,0.435,0.3,1.1,0.3,1.4,2.9,0.486,0.476,0.6,1.0,0.649,1.1,2.3,3.5,0.4,0.4,0.7,1.1,2.0,4.4,0,13.0,18.0,2.0,3.0,6.0,17.7,,https://www.basketball-reference.com/req/202106291/images/headshots/favervi01.jpg,0,0,0,,,
0,Jimmer Fredette,2011-12,22.0,['SAC' 'TOT' 'CHI' 'NOP' 'NYK' 'PHO'],NBA,PG,69.0,7.0,18.6,2.8,7.3,1.0,1.3,3.5,1.0,1.6,3.8,0.5,1.5,2.0,2.5,1.0,0.3,1.0,1.2,1.8,0.5,0.1,1.1,1.2,7.6,1,24.0,5.0,6.0,3.0,2.0,20.2,['BYU'],https://www.basketball-reference.com/req/202106291/images/headshots/fredeji01.jpg,0,0,0,10,2011,
0,Carrick Felix,2013-14,23.0,['CLE'],NBA,SG,7.0,0.0,5.4,1.0,2.0,0.5,0.3,0.7,0.4,0.7,1.3,0.556,0.571,0.4,0.6,0.75,0.1,0.7,0.9,0.6,0.0,0.0,0.6,0.6,2.7,0,10.0,2.0,3.0,,,8.3,['ARIZONAST'],https://www.basketball-reference.com/req/202106291/images/headshots/felixca01.jpg,0,0,0,3,2013,
0,Arnie Ferrin,1948-49,23.0,['MNL'],BAA,,68.0,,,2.8,8.0,0.344,,,,,,,,1.8,2.7,0.697,,,4.0,1.6,,,,3.2,7.3,0,22.0,13.0,5.0,,,,['UTAH'],,0,2,0,,1948,
0,Luis Flores,2004-05,23.0,['TOT' 'GSW' 'DEN'],NBA,PG,16.0,0.0,4.9,1.0,2.0,0.5,1.0,1.0,1.0,0.6,1.2,0.5,0.75,0.1,0.1,1.0,1.0,0.1,1.0,0.7,0.1,0.0,0.7,0.6,3.0,1,8.0,1.0,2.0,1.0,,6.1,['RUTGERS' 'MANHATTAN'],,0,0,0,26,2004,
