,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Jorge Garbajosa,2006-07,29.0,['TOR'],NBA,PF,67.0,60.0,28.5,3.3,7.9,0.42,1.0,2.9,0.375,2.3,5.0,0.464,0.482,0.9,1.2,0.731,0.7,4.2,4.9,1.9,1.2,0.2,1.0,1.3,8.5,0,22.0,12.0,7.0,4.0,2.0,19.9,,,,0,0,0,,
0,Jerry Greenspan,1963-64,22.0,['PHI'],NBA,SG,20.0,,14.0,1.6,4.5,0.615,,,,,,,,1.7,2.5,1.0,,,3.6,0.6,,,,2.7,4.9,0,12.0,10.0,2.0,,,,,['MARYLAND'],,0,0,0,7,1963
0,Marc Gasol,2007-08,23.0,['MEM' 'TOT' 'TOR' 'LAL'],Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),82.0,81.0,36.5,7.2,15.7,0.581,1.5,4.4,0.667,6.5,13.5,0.582,0.582,4.3,5.4,0.848,3.0,7.5,9.3,4.7,1.1,1.9,2.7,3.7,19.5,1,42.0,17.0,14.0,5.0,8.0,34.5,5.0,,https://www.basketball-reference.com/req/202106291/images/headshots/gasolma01.jpg,3,1,0,18,2007
0,Kiwane Lemorris Garris,1997-98,23.0,['DEN' 'ORL'],NBA,SG,28.0,0.0,8.0,0.8,3.3,0.338,0.2,0.5,0.357,0.7,3.0,0.333,0.377,0.7,0.9,0.76,0.1,0.6,0.7,1.0,0.3,0.0,0.5,0.8,2.4,0,7.0,3.0,4.0,2.0,1.0,6.6,,['ILLINOIS'],,0,0,0,,
0,Diante Garrett,2012-13,24.0,['PHO' 'UTA'],NBA,PG,71.0,0.0,14.8,1.4,3.7,0.381,0.5,1.4,0.375,0.9,2.4,0.385,0.449,0.3,0.5,0.833,0.3,1.2,1.4,1.7,0.6,0.1,1.1,1.1,3.5,0,15.0,6.0,8.0,4.0,1.0,12.7,,['IOWAST'],https://www.basketball-reference.com/req/202106291/images/headshots/garredi02.jpg,0,0,0,,
0,Ryan Gomes,2005-06,23.0,['BOS' 'MIN' 'LAC' 'OKC'],NBA,PF,82.0,76.0,31.9,5.1,11.9,0.487,1.3,3.5,0.381,4.4,9.3,0.5,0.497,2.6,3.2,0.83,1.7,4.2,5.8,1.8,0.8,0.3,1.6,2.3,13.3,0,35.0,17.0,10.0,4.0,2.0,29.7,1.0,['PROVIDENCE'],https://www.basketball-reference.com/req/202106291/images/headshots/gomesry01.jpg,0,0,0,20,2005
0,Ricky Grace,1993-94,26.0,['ATL'],NBA,PG,3.0,0.0,2.7,0.7,1.0,0.667,0.0,0.0,,0.7,1.0,0.667,0.667,0.0,0.7,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.3,0,4.0,1.0,1.0,,,1.5,,['MIDLANDCC' 'OKLAHOMA'],,0,0,0,17,1988
0,Bud Grant,1949-50,22.0,['MNL'],NBA,,61.0,,,1.2,3.3,0.365,,,,,,,,0.9,1.4,0.627,,,1.9,1.2,,,,1.7,2.6,0,14.0,4.0,4.0,,,,,['MINNESOTA'],,0,1,0,11,1950
0,George Gervin,1972-73,20.0,['VIR' 'TOT' 'SAA' 'SAS' 'CHI'],ABA,SG,84.0,79.0,37.6,13.1,25.2,0.544,0.4,1.3,0.417,12.7,24.7,0.544,0.544,7.0,8.1,0.879,2.9,6.3,8.5,3.7,1.7,1.8,3.8,3.9,33.1,1,63.0,18.0,11.0,7.0,7.0,44.1,,['EMICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/gervige01.jpg,12,0,0,4,1974
0,Ed Gray,1997-98,22.0,['ATL'],NBA,SG,30.0,3.0,15.7,2.6,6.7,0.381,0.6,1.5,0.391,2.0,5.2,0.378,0.426,1.8,2.2,0.846,0.3,1.2,1.5,1.1,0.5,0.4,1.0,2.4,7.6,0,20.0,5.0,5.0,4.0,2.0,14.4,,['TENNESSEE' 'CALIFORNIA'],,0,0,0,22,1997
0,Chuck Grigsby,1954-55,26.0,['NYK'],NBA,,7.0,,6.4,1.0,2.7,0.368,,,,,,,,0.3,1.1,0.25,,,1.6,1.0,,,,1.3,2.3,0,7.0,1.0,2.0,,,,,['DAYTON'],,0,0,0,,1952
0,Devonte' Graham,2018-19,23.0,['CHO' 'NOP' 'TOT' 'SAS'],NBA,PG,76.0,63.0,35.1,5.8,15.3,0.382,3.5,9.3,0.375,2.4,6.0,0.463,0.513,3.0,3.7,0.843,0.7,2.7,3.4,7.5,1.0,0.3,2.9,1.8,18.2,1,40.0,9.0,15.0,5.0,2.0,32.3,,['KANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/grahade01.jpg,0,0,0,4,2018
0,Jay Guidinger,1992-93,23.0,['CLE'],NBA,C,32.0,5.0,6.7,0.6,1.7,0.5,0.0,0.0,,0.6,1.7,0.5,0.5,0.5,0.8,0.714,0.8,1.2,2.0,0.5,0.3,0.3,0.5,1.5,1.6,0,7.0,7.0,3.0,2.0,3.0,6.7,,['MNDULUTH'],,0,0,0,,
0,Calvin Garrett,1980-81,24.0,['HOU' 'LAL'],NBA,SF,70.0,22.0,23.4,2.7,5.9,0.513,0.1,0.3,0.333,2.7,5.9,0.521,0.52,0.7,1.0,1.0,1.2,2.6,3.8,1.9,0.7,0.1,1.3,2.4,6.1,0,22.0,13.0,10.0,4.0,1.0,21.5,,['AUSTINPEAY' 'ORALROB'],,0,0,0,3,1979
0,Lamar Green,1969-70,22.0,['PHO' 'TOT' 'NOJ' 'VIR'],NBA,PF,80.0,,25.6,2.8,6.5,0.453,0.0,0.0,,2.8,6.5,0.453,0.453,1.1,1.6,0.754,1.9,5.4,9.3,1.1,0.4,0.5,1.2,3.3,6.7,1,22.0,23.0,5.0,2.0,4.0,7.0,,['MOREHEAD'],,0,0,0,4,1969
0,Dick Garrett,1969-70,23.0,['LAL' 'BUF' 'TOT' 'NYK' 'MIL'],NBA,SG,78.0,,31.8,5.0,12.0,0.442,,,,,,,,2.9,3.3,0.873,0.4,0.6,3.9,3.5,0.3,0.0,,3.9,12.9,1,28.0,10.0,10.0,2.0,1.0,,,['SILLINOIS'],,0,0,0,12,1969
