,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles
0,Tibor Pleiß,2015-16,26.0,['UTA'],NBA,C,12.0,0.0,6.8,0.9,2.1,0.44,0.2,0.2,1.0,1.3,0.2,1.6,2.0,0,8.0,6.0,1.0,,https://www.basketball-reference.com/req/202106291/images/headshots/pleisti01.jpg,0,0,0,1,2010,0.0,0.2,0.0,0.9,1.9,0.478,0.44,0.5,0.8,0.1,0.2,0.7,1.0,1.0,5.8,
0,Anžejs Pasečņiks,2019-20,24.0,['WAS'],NBA,C,27.0,0.0,16.2,2.3,4.3,0.526,1.3,2.1,0.586,4.0,1.0,2.8,5.8,0,17.0,10.0,3.0,,https://www.basketball-reference.com/req/202106291/images/headshots/pasecan01.jpg,0,0,0,25,2017,0.0,1.0,0.0,2.3,4.2,0.54,0.526,1.6,2.4,0.3,0.4,5.0,3.0,2.0,15.0,
0,Jake Pelkington,1948-49,33.0,['TOT' 'FTW' 'BLB'],BAA,,54.0,,,4.0,9.1,0.438,4.1,5.4,0.797,,2.5,4.1,11.8,1,33.0,,5.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Johan Petro,2005-06,20.0,['SEA' 'TOT' 'OKC' 'DEN' 'NJN' 'ATL'],NBA,C,81.0,41.0,18.9,2.8,6.1,0.535,0.9,1.2,0.917,5.1,0.8,3.1,6.2,1,22.0,15.0,4.0,,https://www.basketball-reference.com/req/202106291/images/headshots/petrojo01.jpg,0,0,0,25,2005,0.0,0.1,1.0,2.8,6.1,0.54,0.535,1.6,3.8,0.7,0.8,1.0,4.0,5.0,20.2,
0,Mike Penberthy,2000-01,26.0,['LAL'],NBA,PG,53.0,0.0,16.1,1.7,4.2,0.5,1.0,1.3,0.903,1.2,1.3,1.1,5.0,0,16.0,4.0,5.0,['MASTERSCOL'],,0,1,0,,,1.0,2.6,0.396,0.7,1.6,0.5,0.538,0.2,1.0,0.7,0.0,0.6,2.0,1.0,17.8,
0,Jerry Pettway,1967-68,23.0,['HSM'],ABA,SG,76.0,,24.0,3.8,11.2,0.345,1.6,2.4,0.714,3.6,1.5,1.7,9.4,0,24.0,9.0,4.0,,,0,0,0,3,1967,0.2,0.8,0.281,3.6,10.7,0.35,0.354,1.2,1.5,,,1.5,,,,
0,Gabe Pruitt,2007-08,21.0,['BOS'],NBA,PG,47.0,0.0,7.8,0.9,2.6,0.359,0.4,0.4,0.81,0.9,0.9,0.7,2.1,0,9.0,3.0,6.0,['USC'],https://www.basketball-reference.com/req/202106291/images/headshots/pruitga01.jpg,0,1,0,2,2007,0.3,1.0,0.292,0.7,1.8,0.407,0.397,0.2,0.7,0.3,0.1,0.4,3.0,1.0,10.5,
0,Mason Plumlee,2013-14,23.0,['BRK' 'POR' 'TOT' 'DEN' 'DET' 'CHO' 'LAC'],NBA,C,82.0,82.0,28.5,4.7,8.2,0.727,2.8,4.6,0.772,9.7,4.0,3.3,12.2,1,27.0,21.0,12.0,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/plumlma01.jpg,0,0,0,22,2013,0.0,0.1,0.2,4.7,8.1,0.727,0.727,3.3,6.7,0.9,1.2,1.9,4.0,6.0,28.7,2.0
0,Cherokee Parks,1995-96,23.0,['DAL' 'MIN' 'VAN' 'TOT' 'WAS' 'LAC' 'SAS' 'GSW'],NBA,C,79.0,43.0,23.3,2.8,5.7,0.51,1.4,2.1,0.706,5.5,0.8,3.0,7.1,1,25.0,14.0,5.0,['DUKE'],,0,0,0,12,1995,0.1,0.4,0.5,2.8,5.7,0.512,0.51,1.8,3.8,0.6,1.1,1.0,4.0,5.0,21.4,
0,Steve Patterson,1971-72,23.0,['CLE' 'TOT' 'CHI'],NBA,C,81.0,,25.1,3.4,7.9,0.437,0.9,1.5,0.8,8.1,2.2,2.5,7.8,1,23.0,19.0,10.0,['UCLA'],,0,0,0,10,1970,,,,,,,,2.9,5.2,0.6,0.8,,4.0,3.0,,1.0
0,Norman Powell,2015-16,22.0,['TOR' 'TOT' 'POR' 'LAC'],NBA,SG,76.0,58.0,34.4,6.7,13.6,0.508,6.0,7.0,0.88,3.7,2.8,2.8,21.4,1,43.0,11.0,6.0,['UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/powelno01.jpg,0,1,0,16,2015,2.8,6.4,0.542,3.9,7.8,0.575,0.611,0.9,3.2,1.3,0.8,1.8,5.0,3.0,32.9,
0,Anthony Pullard,1992-93,26.0,['MIL'],NBA,PF,8.0,0.0,4.6,1.0,2.3,0.444,0.1,0.4,0.333,1.0,0.3,0.6,2.1,0,6.0,4.0,1.0,['MCNEESE'],,0,0,0,,,0.0,0.0,,1.0,2.3,0.444,0.444,0.3,0.8,0.3,0.3,0.6,1.0,1.0,3.8,
0,Tim Perry,1988-89,23.0,['PHO' 'PHI' 'TOT' 'NJN'],NBA,C,81.0,69.0,31.0,5.2,9.9,0.537,1.9,2.7,0.712,6.9,1.7,3.0,12.3,1,31.0,16.0,7.0,['TEMPLE'],,0,0,0,7,1988,0.9,2.5,1.0,5.1,9.8,0.543,0.54,2.6,4.3,0.8,1.5,1.8,4.0,7.0,30.1,
0,Bob Portman,1969-70,22.0,['SFW' 'GSW'],NBA,SG,68.0,,20.5,3.3,7.1,0.458,1.1,1.6,0.883,4.7,1.0,1.9,7.6,0,23.0,19.0,4.0,['CREIGHTON'],,0,0,0,7,1969,,,,,,,,,,,,,,,,
