,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,STL,"Career high, Steals",Triple-Doubles,"Career high, Blocks","Career high, Game Score"
0,Brad Wright,1986-87,24.0,['NYK' 'DEN'],NBA,PF,14.0,0.0,9.9,1.4,3.3,0.435,0.0,0.1,0.0,1.4,3.2,0.444,0.435,0.9,2.0,0.429,1.8,2.0,3.8,0.1,0.4,1.0,1.5,3.7,0,13.0,13.0,1.0,['UCLA'],,0,0,0,2,1985,0.2,1.0,,2.0,14.5
0,Ken Wilburn,1967-68,23.0,['CHI' 'TOT' 'NYA' 'DNR' 'MNP'],NBA,SF,51.0,,11.1,1.9,4.9,0.556,0.0,0.0,,1.9,4.9,0.556,0.556,1.5,2.3,0.667,2.2,2.6,4.8,0.7,,1.0,1.5,4.7,1,18.0,12.0,4.0,,,0,0,0,9,1966,,,,,
0,Ray Wertis,1946-47,23.0,['TOT' 'TRH' 'CLR' 'PRO'],BAA,,61.0,,,2.1,10.3,0.222,,,,,,,,1.3,2.1,0.622,,,,1.0,,,1.9,5.5,1,13.0,,,,,0,0,0,,,,,,,
0,Greg Whittington,2020-21,27.0,['DEN'],NBA,PF,4.0,0.0,3.0,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,['GEORGETOWN'],https://www.basketball-reference.com/req/202106291/images/headshots/whittgr01.jpg,0,0,0,,,0.0,,,,0.0
0,Paul Watson,2019-20,25.0,['TOT' 'ATL' 'TOR' 'OKC'],NBA,SF,27.0,3.0,17.3,1.4,3.9,0.526,1.1,2.9,0.469,0.8,2.0,0.667,0.646,0.9,1.1,0.778,0.3,2.7,3.0,1.5,0.3,0.4,1.3,4.1,1,30.0,6.0,5.0,['FRESNOST'],https://www.basketball-reference.com/req/202106291/images/headshots/watsopa01.jpg,0,0,0,,,0.5,2.0,,2.0,26.3
0,Antoine Walker,1996-97,20.0,['BOS' 'DAL' 'TOT' 'ATL' 'MIA' 'MIN'],NBA,PF,82.0,82.0,42.0,8.8,21.2,0.442,2.7,8.0,0.369,7.7,17.2,0.499,0.512,3.8,5.8,0.741,3.5,7.0,10.2,5.5,1.1,3.7,3.4,23.4,1,49.0,21.0,14.0,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/walkean02.jpg,3,1,0,6,1996,1.7,6.0,15.0,4.0,40.6
0,Gene Wiley,1962-63,25.0,['LAL' 'TOT' 'OAK' 'DLC'],NBA,C,80.0,,25.0,2.2,4.7,0.535,0.0,0.0,,2.2,4.7,0.535,0.535,1.0,3.0,0.6,,,8.6,1.3,,2.0,3.0,5.1,1,16.0,26.0,8.0,['WICHITAST'],,0,0,0,8,1962,,,,,
0,Hot Rod Williams,1986-87,24.0,['CLE' 'PHO' 'DAL'],NBA,PF,82.0,80.0,35.7,6.4,13.0,0.509,0.0,0.1,0.25,6.4,13.0,0.51,0.509,4.0,5.4,0.756,2.9,5.6,8.3,2.6,2.3,2.0,2.9,16.8,0,33.0,18.0,8.0,['TULANE'],https://www.basketball-reference.com/req/202106291/images/headshots/williho01.jpg,0,0,0,21,1985,1.1,6.0,,9.0,31.3
0,Monty Williams,1994-95,23.0,['NYK' 'TOT' 'SAS' 'DEN' 'ORL' 'PHI'],NBA,SF,82.0,26.0,20.7,3.6,7.2,0.547,0.0,0.2,0.5,3.6,7.1,0.553,0.547,1.8,2.9,0.75,1.5,2.3,3.5,1.4,0.8,1.8,2.5,9.0,1,30.0,11.0,6.0,['NOTREDAME'],,0,0,0,24,1994,0.8,3.0,,4.0,23.7
0,Al Williams,1970-71,22.0,['KEN'],ABA,,11.0,,6.4,1.7,3.9,0.442,0.0,0.0,,1.7,3.9,0.442,0.442,0.5,0.9,0.5,0.8,1.5,2.4,0.5,,0.6,1.2,3.9,0,13.0,10.0,,['DRAKE'],,0,0,0,17,1970,,,,,
0,Rob Williams,1982-83,21.0,['DEN'],NBA,PG,79.0,66.0,24.4,3.9,8.5,0.461,0.2,0.6,0.319,3.7,7.9,0.471,0.472,2.2,2.6,0.818,0.7,1.8,2.5,5.9,0.2,2.5,3.4,10.2,0,24.0,9.0,16.0,['HOUSTON'],,0,0,0,19,1982,1.2,8.0,,3.0,19.9
0,Darryl Watkins,2007-08,23.0,['SAC' 'NOH'],NBA,C,9.0,0.0,19.6,1.4,2.8,0.5,0.0,0.0,,1.4,2.8,0.5,0.5,1.8,3.6,0.5,1.6,3.8,5.4,0.6,0.8,1.6,2.8,4.6,0,13.0,13.0,1.0,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/watkida01.jpg,0,0,0,,,1.0,3.0,,2.0,9.8
0,Vann Williford,1970-71,23.0,['CAR'],ABA,SF,38.0,,7.8,1.6,3.7,0.44,0.1,0.2,0.333,1.6,3.5,0.447,0.45,0.6,1.0,0.568,0.7,1.1,1.8,0.4,,0.6,0.9,3.9,0,19.0,7.0,2.0,['NCSTATE'],,0,0,0,14,1970,,,,,
0,Ish Wainright,2021-22,27.0,['PHO'],NBA,PF,60.0,2.0,15.3,1.4,3.8,0.394,1.0,2.9,0.329,0.5,1.0,0.5,0.496,0.4,0.5,0.839,0.8,1.6,2.3,0.9,0.4,0.4,2.0,4.2,0,20.0,8.0,4.0,['BAYLOR'],https://www.basketball-reference.com/req/202106291/images/headshots/wainris01.jpg,0,0,0,,,0.6,4.0,,2.0,22.5
0,Jamie Waller,1987-88,23.0,['NJN'],NBA,SG,9.0,0.0,10.1,1.8,4.4,0.4,0.0,0.2,0.0,1.8,4.2,0.421,0.4,1.1,2.0,0.556,1.0,0.4,1.4,0.3,0.1,1.2,1.4,4.7,0,10.0,4.0,1.0,['VAUNION'],,0,0,0,2,1987,0.4,3.0,,1.0,8.9
0,Danny Wagner,1949-50,27.0,['SHE'],NBA,,11.0,,,1.7,4.9,0.352,,,,,,,,2.8,3.2,0.886,,,,1.6,,,2.0,6.3,0,26.0,,4.0,,,0,0,0,,,,,,,
0,Ralph Wells,1962-63,22.0,['CHZ'],NBA,,3.0,,16.0,0.3,2.3,0.143,,,,,,,,0.0,2.3,0.0,,,2.0,2.3,,,2.0,0.7,0,2.0,2.0,2.0,['NWESTERN'],,0,0,0,,,,,,,
0,Ennis Whatley,1983-84,21.0,['CHI' 'TOT' 'CLE' 'WSB' 'SAS' 'ATL' 'LAC' 'POR'],NBA,PG,82.0,73.0,27.0,3.4,7.1,0.508,0.1,0.3,0.25,3.4,7.0,0.522,0.508,1.8,2.5,0.909,0.8,1.9,2.7,8.3,0.3,3.4,2.8,8.5,1,21.0,8.0,22.0,['ALABAMA'],,0,0,0,13,1983,1.5,6.0,,2.0,22.6
0,Ward Williams,1948-49,25.0,['FTW'],BAA,,53.0,,,1.2,4.8,0.237,,,,,,,,1.8,2.3,0.75,,,,1.5,,,3.0,4.1,0,13.0,,5.0,['INDIANA'],,0,0,0,8,1948,,,,,
