,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Josh Richardson,2015-16,22.0,['MIA' 'PHI' 'DAL' 'TOT' 'BOS' 'SAS' 'NOP'],NBA,SG,81.0,81.0,34.8,5.8,14.1,0.452,2.2,6.3,0.461,3.5,7.8,0.518,0.55,2.7,3.2,0.946,0.9,2.9,3.6,4.1,1.5,0.9,1.9,2.7,16.6,1,37.0,10.0,10.0,5.0,4.0,29.6,['TENNESSEE'],https://www.basketball-reference.com/req/202106291/images/headshots/richajo01.jpg,0,0,0,10,2015,
0,Shavlik Randolph,2005-06,22.0,['PHI' 'POR' 'TOT' 'MIA' 'BOS' 'PHO'],NBA,PF,57.0,6.0,15.7,1.8,5.0,0.615,0.1,0.3,1.0,1.8,5.0,0.583,0.654,0.9,1.7,1.0,2.3,2.7,4.4,0.3,0.5,0.8,0.7,3.0,4.5,1,16.0,13.0,5.0,3.0,4.0,13.0,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/randosh01.jpg,0,0,0,,,
0,Clifford Ray,1971-72,23.0,['CHI' 'GSW'],NBA,C,82.0,,32.9,3.9,7.7,0.584,0.0,0.0,0.0,3.9,7.7,0.584,0.584,2.1,3.5,0.619,3.6,8.7,12.2,3.7,1.2,2.2,1.9,3.7,9.4,0,24.0,24.0,10.0,5.0,8.0,25.5,['OKLAHOMA'],https://www.basketball-reference.com/req/202106291/images/headshots/raycl01.jpg,0,1,0,5,1971,1.0
0,Rodney Rogers,1993-94,22.0,['DEN' 'LAC' 'PHO' 'TOT' 'BOS' 'NJN' 'NOH' 'PHI'],NBA,SF,82.0,77.0,32.9,5.6,12.3,0.488,1.4,3.5,0.439,4.7,9.5,0.535,0.57,3.0,4.3,0.828,2.0,3.8,5.6,2.7,1.2,0.8,2.7,3.5,15.1,1,36.0,21.0,9.0,6.0,5.0,30.4,['WAKE'],https://www.basketball-reference.com/req/202106291/images/headshots/rogerro01.jpg,0,0,0,9,1993,
0,Jeff Ruland,1980-81,22.0,['WSB' 'PHI' 'DET'],Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),82.0,75.0,41.1,8.0,13.8,0.679,0.0,0.1,0.333,8.0,13.7,0.679,0.679,6.2,8.5,0.752,3.7,8.8,12.3,5.3,0.9,1.0,4.8,3.9,22.2,0,38.0,24.0,12.0,4.0,5.0,34.2,['IONA'],https://www.basketball-reference.com/req/202106291/images/headshots/rulanje01.jpg,2,0,0,2,1980,5.0
0,Eric Riley,1993-94,23.0,['HOU' 'LAC' 'MIN' 'DAL' 'BOS'],NBA,C,47.0,14.0,13.9,1.6,3.6,0.519,0.0,0.0,0.0,1.6,3.6,0.519,0.519,1.2,1.6,0.786,1.3,2.3,3.4,0.6,0.4,1.2,0.9,2.1,4.4,0,16.0,14.0,4.0,3.0,5.0,12.5,['MICHIGAN'],,0,1,0,6,1993,
0,Kareem Rush,2002-03,22.0,['LAL' 'TOT' 'CHA' 'IND' 'PHI' 'LAC'],NBA,PG,76.0,25.0,25.8,4.5,11.4,0.44,1.4,3.7,0.389,3.1,7.6,0.483,0.495,1.2,1.6,1.0,0.5,2.1,2.4,1.9,0.8,0.4,1.4,2.0,11.5,1,35.0,11.0,7.0,3.0,2.0,30.8,['MISSOURI'],,0,0,0,20,2002,
0,George Reynolds,1969-70,22.0,['DET'],NBA,,10.0,,4.4,0.8,1.9,0.421,,,,,,,,0.5,0.7,0.714,,,1.4,1.2,,,,1.0,2.1,0,8.0,3.0,5.0,,,,['HOUSTON'],,0,0,0,4,1969,
0,Jalen Rose,1994-95,22.0,['DEN' 'IND' 'TOT' 'CHI' 'TOR' 'NYK' 'PHO'],NBA,SF,83.0,83.0,40.9,9.2,19.6,0.48,1.6,4.4,0.491,8.0,16.2,0.52,0.564,4.9,5.7,0.917,0.8,4.5,5.0,6.2,1.1,0.6,3.5,3.4,23.8,1,44.0,14.0,20.0,5.0,6.0,37.0,['MICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/roseja01.jpg,0,0,0,13,1994,1.0
0,Mike Riordan,1968-69,23.0,['NYK' 'TOT' 'BAL' 'CAP' 'WSB'],NBA,SF,82.0,,42.3,8.0,15.6,0.51,,,,,,,,2.2,2.7,0.838,1.5,3.2,4.9,5.2,1.3,0.2,,3.2,18.1,1,39.0,14.0,12.0,3.0,2.0,,['PROVIDENCE'],https://www.basketball-reference.com/req/202106291/images/headshots/riordmi01.jpg,0,1,0,5,1967,
0,Wayne Robinson,1980-81,22.0,['DET'],NBA,PF,81.0,,19.7,2.9,6.3,0.46,0.0,0.1,0.0,2.9,6.2,0.465,0.46,2.2,3.0,0.729,1.4,2.2,3.6,1.4,0.6,0.3,1.8,2.3,7.9,0,19.0,11.0,5.0,3.0,2.0,14.9,['VATECH'],,0,0,0,8,1980,
0,Irv Rothenberg,1946-47,25.0,['CLR' 'TOT' 'WSC' 'BLB' 'STB' 'NYK'],BAA,,53.0,,,2.6,9.1,0.291,,,,,,,,2.5,4.4,0.762,,,,1.3,,,,3.3,7.8,1,24.0,,2.0,,,,,,0,0,0,,1947,
0,Bobby Rascoe,1967-68,27.0,['KEN'],ABA,SF,78.0,,20.9,3.2,7.3,0.435,0.0,0.3,0.2,3.2,7.2,0.439,0.435,2.5,3.2,0.857,0.7,1.2,3.7,1.3,,,1.2,2.1,8.8,0,34.0,14.0,5.0,,,,['WKENTUCKY'],,0,0,0,2,1962,
0,Oscar Robertson,1960-61,22.0,['CIN' 'MIL'],NBA,PG,81.0,,46.0,11.0,22.9,0.518,,,,,,,,10.1,11.9,0.873,1.0,3.0,12.5,11.5,1.1,0.1,,3.7,31.4,0,56.0,22.0,22.0,6.0,1.0,9.2,['CINCY'],https://www.basketball-reference.com/req/202106291/images/headshots/roberos01.jpg,12,1,1,1,1960,181.0
0,Rodrick Rhodes,1997-98,24.0,['HOU' 'TOT' 'VAN' 'DAL'],NBA,SF,58.0,13.0,18.4,1.9,5.3,0.367,0.1,0.7,0.25,1.9,5.1,0.37,0.37,1.9,3.1,0.833,1.0,0.7,1.3,1.9,2.0,0.2,2.0,2.2,5.8,1,16.0,4.0,6.0,5.0,1.0,15.2,['KENTUCKY' 'USC'],,0,0,0,24,1997,
0,Jack Rocker,1947-48,25.0,['PHW'],BAA,,9.0,,,0.9,2.4,0.364,,,,,,,,0.1,0.1,1.0,,,,0.3,,,,0.2,1.9,0,8.0,,1.0,,,,,,0,0,0,,,
0,Glen Rice,1989-90,22.0,['MIA' 'CHH' 'LAL' 'NYK' 'HOU' 'LAC'],NBA,SF,82.0,82.0,42.6,9.1,19.2,0.477,2.6,5.6,0.47,6.6,13.6,0.506,0.546,5.9,6.8,1.0,1.3,4.4,5.4,2.9,1.4,0.4,2.2,2.8,26.8,0,56.0,17.0,9.0,6.0,4.0,42.7,['MICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/ricegl01.jpg,3,1,0,4,1989,
0,Jim Ray,1956-57,23.0,['SYR'],NBA,,4.0,,10.8,0.5,2.8,0.182,,,,,,,,0.8,1.3,0.6,,,1.3,0.8,,,,1.0,1.8,0,5.0,2.0,2.0,,,,['TOLEDO'],,0,0,0,5,1956,
0,Jim Reid,1967-68,22.0,['PHI'],NBA,,6.0,,8.7,1.7,3.3,0.5,,,,,,,,0.2,0.8,0.2,,,1.8,0.5,,,,1.0,3.5,0,6.0,4.0,2.0,,,,,,0,0,0,10,1967,
0,Frank Russell,1972-73,23.0,['CHI'],NBA,SG,23.0,,5.7,1.3,3.3,0.377,,,,,,,,0.7,0.8,0.889,,,0.7,0.7,,,,0.5,3.2,0,11.0,4.0,3.0,,,,['DETROIT'],,0,0,0,5,1972,
0,Luther Rackley,1969-70,23.0,['CIN' 'CLE' 'TOT' 'NYK' 'MMT' 'PHI'],NBA,C,74.0,,19.4,3.0,6.4,0.494,0.0,0.0,0.0,3.0,6.4,0.496,0.494,1.9,3.0,0.727,1.6,3.5,5.7,0.9,0.3,0.4,0.9,3.1,7.6,1,29.0,20.0,5.0,,,,['XAVIER'],,0,0,0,8,1969,
0,Al Roges,1953-54,23.0,['BLB' 'TOT' 'FTW'],NBA,SF,67.0,,28.9,3.3,9.2,0.385,,,,,,,,1.9,2.7,0.726,,,3.2,2.4,,,,2.6,8.5,1,23.0,9.0,6.0,,,,['LONGISLAND'],,0,0,0,,,
0,Billy Reid,1980-81,23.0,['GSW'],NBA,SG,59.0,,10.1,1.4,3.1,0.454,0.0,0.1,0.0,1.4,3.1,0.467,0.454,0.4,0.7,0.564,0.5,0.6,1.0,1.2,0.6,0.1,1.3,1.9,3.2,0,14.0,6.0,6.0,3.0,1.0,11.2,['NMEXICO' 'SANFRAN'],,0,0,0,10,1979,
0,Red Robbins,1967-68,23.0,['NOB' 'UTS' 'SDA' 'TOT' 'KEN' 'VIR'],ABA,C,82.0,,39.8,6.4,13.6,0.571,0.4,0.9,0.408,6.3,13.2,0.571,0.571,3.8,4.8,1.0,5.2,11.0,16.2,2.2,0.7,0.6,1.8,3.1,16.4,1,36.0,22.0,6.0,1.0,2.0,,['TENNESSEE'],,4,1,0,9,1966,
0,Bob Riley,1970-71,22.0,['ATL'],NBA,,7.0,,5.6,0.6,1.3,0.444,,,,,,,,0.7,1.3,0.556,,,1.7,0.1,,,,0.7,1.9,0,4.0,4.0,1.0,,,,,,0,0,0,14,1970,
0,Cazzie Russell,1966-67,22.0,['NYK' 'GSW' 'LAL' 'CHI'],NBA,SF,82.0,,36.7,9.0,19.2,0.498,,,,,,,,4.0,4.8,0.894,1.7,2.6,5.4,3.1,1.0,0.2,1.0,2.8,21.4,0,49.0,15.0,11.0,4.0,2.0,19.0,['MICHIGAN'],,1,1,0,1,1966,
0,Mike Ratliff,1972-73,21.0,['KCO'],NBA,C,58.0,,11.7,1.7,4.1,0.417,,,,,,,,0.8,1.4,0.536,0.0,0.0,3.3,0.7,0.0,0.0,,1.9,4.2,0,20.0,19.0,4.0,,,,,,0,0,0,15,1972,
0,Frank Radovich,1961-62,23.0,['PHW'],NBA,,37.0,,4.7,1.0,2.5,0.398,,,,,,,,0.4,0.7,0.5,,,1.4,0.1,,,,0.7,2.4,0,13.0,6.0,1.0,,,,['INDIANA'],,0,0,0,6,1960,
0,John Rudd,1978-79,23.0,['NYK'],NBA,SF,58.0,,12.5,1.0,2.3,0.444,,,,,,,,1.1,1.6,0.71,1.2,1.7,2.9,0.6,0.3,0.1,1.0,1.6,3.2,0,17.0,13.0,4.0,2.0,1.0,16.3,['MCNEESE'],,0,0,0,10,1978,
0,Anthony Roberson,2005-06,22.0,['MEM' 'GSW' 'TOT' 'NYK' 'CHI'],NBA,PG,29.0,1.0,11.4,2.2,5.2,0.452,1.1,3.1,0.5,1.2,2.5,0.469,0.532,0.2,0.2,1.0,0.3,1.0,1.2,0.8,0.6,0.0,0.7,1.4,5.6,1,21.0,4.0,4.0,3.0,1.0,14.6,['FLORIDA'],https://www.basketball-reference.com/req/202106291/images/headshots/roberan02.jpg,0,0,0,,,
0,Isaiah Roby,2019-20,21.0,['OKC' 'SAS'],NBA,PF,61.0,34.0,23.4,3.7,7.2,0.514,1.0,2.2,0.444,2.9,5.2,0.547,0.582,1.7,2.6,0.744,1.7,4.1,5.6,1.8,0.9,0.8,1.9,2.7,10.1,0,30.0,12.0,7.0,4.0,6.0,29.9,['NEBRASKA'],https://www.basketball-reference.com/req/202106291/images/headshots/robyis01.jpg,0,0,0,15,2019,
0,Ron Riley,1972-73,22.0,['KCO' 'TOT' 'HOU'],NBA,PF,77.0,,22.1,3.7,8.6,0.431,,,,,,,,1.2,2.0,0.732,1.8,3.6,6.9,1.7,0.7,0.6,,3.1,8.4,1,26.0,22.0,6.0,4.0,3.0,,['USC'],,0,0,0,8,1972,
0,Isaiah Rider,1993-94,22.0,['MIN' 'POR' 'ATL' 'LAL' 'DEN'],NBA,SG,79.0,68.0,37.6,7.5,17.9,0.468,1.9,5.7,0.4,6.6,14.9,0.492,0.514,3.7,4.5,0.855,1.5,3.3,4.7,3.7,0.9,0.4,3.1,2.7,20.4,0,42.0,15.0,11.0,4.0,3.0,38.2,['UNLV'],,0,1,0,5,1993,
0,Phil Rollins,1958-59,25.0,['TOT' 'PHW' 'CIN' 'STL' 'NYK'],NBA,PG,72.0,,21.0,2.6,6.9,0.45,,,,,,,,1.7,2.1,0.778,,,4.1,3.2,,,,2.4,6.8,1,27.0,10.0,13.0,,,,['LOUISVILLE'],,0,0,0,8,1956,
0,John Rudometkin,1962-63,22.0,['NYK' 'TOT' 'SFW'],NBA,SF,56.0,,22.0,3.0,8.0,0.472,,,,,,,,1.7,2.3,0.768,,,7.0,0.7,,,,5.0,7.6,1,26.0,12.0,4.0,,,,['USC'],,0,0,0,2,1962,
0,Mel Riebe,1946-47,30.0,['CLR' 'BOS' 'TOT' 'PRO'],BAA,,55.0,,,5.0,16.3,0.309,,,,,,,,2.1,3.5,0.642,,,,2.9,,,,3.1,12.1,1,31.0,,4.0,,,,,,0,0,0,,,
0,Josh Reaves,2019-20,22.0,['DAL'],NBA,SF,4.0,0.0,7.0,0.8,2.3,0.333,0.0,0.5,0.0,0.8,1.8,0.429,0.333,0.5,0.5,1.0,0.3,0.5,0.8,0.8,0.0,0.0,0.0,1.3,2.0,0,4.0,2.0,3.0,,,3.6,['PENNST'],https://www.basketball-reference.com/req/202106291/images/headshots/reavejo02.jpg,0,0,0,,,
0,Mark Randall,1991-92,24.0,['TOT' 'CHI' 'MIN' 'DET' 'DEN'],NBA,PF,54.0,0.0,9.6,1.5,3.3,0.506,0.1,0.5,0.214,1.4,2.9,0.542,0.513,0.8,1.0,0.786,0.9,1.0,1.6,0.7,0.3,0.1,0.5,0.9,3.7,1,14.0,8.0,4.0,2.0,1.0,11.1,['KANSAS'],,0,0,0,26,1991,
0,Terry Rozier,2015-16,21.0,['BOS' 'CHO'],NBA,PG,80.0,73.0,35.3,7.8,18.9,0.45,3.2,8.3,0.407,5.2,10.8,0.516,0.548,2.8,3.5,0.874,0.8,3.9,4.7,5.1,1.3,0.4,2.2,2.0,21.1,0,43.0,11.0,11.0,6.0,3.0,33.8,['LOUISVILLE'],https://www.basketball-reference.com/req/202106291/images/headshots/roziete01.jpg,0,0,0,16,2015,2.0
0,Moe Radovich,1952-53,23.0,['PHW'],NBA,PG,4.0,,8.3,1.3,3.3,0.385,,,,,,,,1.0,1.0,1.0,,,0.3,2.0,,,,1.3,3.5,0,8.0,1.0,4.0,,,,['WYOMING'],,0,0,0,,1952,
0,Eldridge Recasner,1994-95,27.0,['DEN' 'HOU' 'ATL' 'CHH' 'TOT' 'LAC'],NBA,SG,71.0,27.0,24.6,3.5,7.7,0.456,1.3,3.0,0.424,2.4,5.2,0.667,0.528,1.3,1.3,1.0,0.5,1.9,2.4,2.7,1.0,0.1,1.5,1.8,9.3,1,26.0,11.0,12.0,4.0,1.0,20.7,['WASHINGTON'],https://www.basketball-reference.com/req/202106291/images/headshots/recasel01.jpg,0,0,0,,,
0,Marshall Rogers,1976-77,23.0,['GSW'],NBA,PG,26.0,,6.8,1.7,4.5,0.371,,,,,,,,0.5,0.6,0.933,0.2,0.2,0.4,0.4,0.3,0.1,,1.3,3.8,0,10.0,2.0,2.0,2.0,2.0,,['KANSAS' 'UTPANAM'],,0,0,0,17,1976,
0,Larry Robinson,1990-91,23.0,['TOT' 'GSW' 'WSB' 'BOS' 'HOU' 'VAN' 'CLE' 'ATL' 'NYK'],NBA,SG,36.0,10.0,21.3,3.2,7.6,0.5,1.3,3.5,0.5,3.2,7.5,0.667,0.55,0.8,1.3,1.0,2.0,1.9,2.6,2.0,1.2,0.3,1.7,3.0,6.9,1,21.0,8.0,5.0,4.0,1.0,21.8,['CENTENARY'],,0,1,0,,,
0,Kendall Rhine,1967-68,24.0,['KEN' 'HSM'],ABA,C,73.0,,29.0,3.5,8.6,0.405,0.0,0.0,0.0,3.5,8.6,0.406,0.405,2.0,3.6,0.562,4.2,6.8,11.0,2.1,,,1.6,4.4,9.0,0,23.0,18.0,6.0,,,,,,0,0,0,6,1964,
0,Clint Richardson,1979-80,23.0,['PHI' 'IND'],NBA,SG,82.0,61.0,27.1,4.1,9.0,0.489,0.1,0.2,1.0,4.1,8.9,0.49,0.489,1.5,1.8,0.854,1.3,2.2,3.2,4.5,0.9,0.3,1.7,2.1,9.7,0,24.0,12.0,11.0,4.0,3.0,25.0,['SEATTLE'],,0,1,0,14,1979,
