,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles
0,Levern Tart,1967-68,25.0,['TOT' 'OAK' 'NJA' 'NYA' 'HSM' 'DNR' 'TEX'],ABA,SG,80.0,,42.1,10.0,23.4,0.495,6.8,8.7,0.829,6.8,3.5,3.4,26.9,1,49.0,13.0,7.0,['BRADLEY'],,2,0,0,9,1964,0.2,0.8,0.444,10.0,23.1,0.499,0.498,3.2,3.7,,,4.6,,1.0,,
0,Roy Tarpley,1986-87,22.0,['DAL'],NBA,PF,81.0,35.0,36.6,8.6,15.8,0.544,3.5,5.1,0.889,13.1,2.4,4.0,20.4,0,35.0,25.0,7.0,['MICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/tarplro01.jpg,0,0,0,7,1986,0.1,0.3,0.333,8.6,15.6,0.551,0.544,4.4,8.9,1.8,1.8,2.6,5.0,7.0,32.9,
0,Isaiah Thomas,2011-12,22.0,['SAC' 'TOT' 'PHO' 'BOS' 'CLE' 'LAL' 'DEN' 'WAS' 'NOP' 'DAL' 'CHO'],NBA,PG,82.0,79.0,34.7,9.0,19.4,0.463,7.8,8.5,1.0,3.0,6.3,3.0,28.9,1,52.0,11.0,15.0,['WASHINGTON'],https://www.basketball-reference.com/req/202106291/images/headshots/thomais02.jpg,2,0,0,30,2011,3.2,8.5,0.413,5.8,11.2,0.6,0.546,0.7,2.4,1.3,0.5,3.2,5.0,2.0,43.2,1.0
0,John Tschogl,1972-73,22.0,['ATL' 'PHI'],NBA,SF,64.0,,16.0,1.4,4.0,0.358,0.3,0.6,0.591,2.8,0.8,2.5,3.1,0,14.0,13.0,4.0,['UCSB'],,0,0,0,13,1972,,,,,,,,1.3,1.5,0.6,0.6,,3.0,5.0,,
0,Irving Thomas,1990-91,25.0,['LAL'],NBA,PF,26.0,0.0,4.2,0.7,1.9,0.34,0.5,0.8,0.571,1.2,0.4,0.9,1.8,0,9.0,6.0,2.0,['KENTUCKY' 'FLORIDAST'],,0,0,0,,,0.0,0.0,,0.7,1.9,0.34,0.34,0.5,0.7,0.2,0.0,0.5,1.0,1.0,6.9,
0,Dick Triptow,1948-49,26.0,['FTW' 'BLB'],BAA,,55.0,,,2.1,7.6,0.278,1.9,2.6,1.0,,1.7,1.9,6.1,0,17.0,,5.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Anthony Taylor,1988-89,23.0,['MIA'],NBA,PG,21.0,7.0,17.5,2.9,7.2,0.397,1.1,1.5,0.75,1.6,2.0,1.8,6.9,0,21.0,7.0,5.0,['OREGON'],,0,0,0,19,1988,0.0,0.1,0.0,2.9,7.1,0.403,0.397,0.5,1.1,1.0,0.2,1.0,4.0,1.0,16.9,
0,JT Thor,2021-22,19.0,['CHO'],NBA,PF,69.0,8.0,14.0,1.4,3.4,0.436,0.5,0.7,0.702,2.2,0.6,1.0,3.8,0,14.0,8.0,4.0,['AUBURN'],https://www.basketball-reference.com/req/202106291/images/headshots/thorjt01.jpg,0,0,0,7,2021,0.6,1.8,0.317,0.8,1.7,0.607,0.5,0.5,1.7,0.3,0.3,0.6,3.0,3.0,12.2,
0,Ron Taylor,1969-70,22.0,['TOT' 'NYA' 'WSA' 'VIR' 'PTC'],ABA,C,75.0,,25.0,2.1,9.0,0.481,1.0,1.7,0.6,4.0,4.0,6.0,5.0,1,27.0,14.0,4.0,['USC'],,0,0,0,3,1969,0.0,0.0,,2.1,9.0,0.481,0.481,1.7,2.3,,,1.7,,,,
0,Tyrell Terry,2020-21,20.0,['DAL' 'MEM'],NBA,PG,11.0,0.0,5.1,0.5,1.5,1.0,0.1,0.3,0.333,0.5,0.5,0.5,1.0,0,4.0,2.0,2.0,['STANFORD'],https://www.basketball-reference.com/req/202106291/images/headshots/terryty01.jpg,0,0,0,1,2020,0.0,0.6,0.0,0.5,0.8,1.0,1.0,0.0,0.5,0.5,0.0,0.2,2.0,,4.4,
0,Jack Tingle,1947-48,23.0,['WSC' 'MNL'],BAA,,37.0,,,1.0,3.7,0.263,0.5,0.9,0.515,,0.5,1.2,2.4,0,10.0,,,,,0,0,0,,1947,,,,,,,,,,,,,,,,
0,Linton Townes,1982-83,23.0,['POR' 'TOT' 'MIL' 'SDC' 'SAS'],NBA,SF,55.0,0.0,9.4,1.9,6.0,1.0,2.0,2.0,1.0,1.2,0.6,1.5,4.5,1,20.0,7.0,3.0,['JAMESMAD'],,0,0,0,10,1982,0.2,0.5,0.36,1.7,6.0,1.0,1.0,1.0,0.6,0.5,1.0,0.6,4.0,2.0,18.4,
0,Ollie Taylor,1970-71,23.0,['NYA' 'SDA' 'TOT' 'CAR'],ABA,SG,82.0,,30.7,4.7,11.0,0.506,4.1,6.2,0.708,5.3,4.0,2.9,13.7,1,29.0,12.0,12.0,['HOUSTON'],,0,0,0,6,1970,0.2,0.8,1.0,4.6,10.2,0.508,0.511,2.3,3.0,0.7,0.3,3.0,,,,1.0
