,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,ORB,DRB,STL,BLK,TOV,"Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",3P,3PA,3P%,2P,2PA,2P%,eFG%,"Career high, Blocks",Triple-Doubles
0,Zeke Sinicola,1951-52,23.0,['FTW'],NBA,,9.0,,5.0,0.4,1.8,0.25,0.3,0.7,0.5,0.3,0.3,0.9,1.2,0,4.0,['NIAGARA'],,0,0,0,4,1951,,,,,,,1.0,,,,,,,,,,,
0,Dennis Schröder,2013-14,20.0,['ATL' 'OKC' 'LAL' 'TOT' 'BOS' 'HOU'],NBA,PG,80.0,78.0,32.1,7.5,17.1,0.469,3.4,4.0,0.872,3.6,6.3,2.6,19.4,1,41.0,,https://www.basketball-reference.com/req/202106291/images/headshots/schrode01.jpg,0,0,0,17,2013,0.7,3.3,1.1,0.2,3.3,12.0,15.0,5.0,30.6,1.9,5.0,0.385,6.3,13.2,0.513,0.534,2.0,
0,Dexter Shouse,1989-90,26.0,['PHI'],NBA,PG,3.0,0.0,6.0,0.0,1.3,0.0,0.0,0.0,,0.0,0.7,0.7,0.0,0,,['SALABAMA'],,0,0,0,22,1985,0.0,0.0,0.3,0.3,0.7,,1.0,1.0,1.3,0.0,0.3,0.0,0.0,1.0,0.0,0.0,1.0,
0,Charlie Sitton,1984-85,22.0,['DAL'],NBA,SF,43.0,0.0,7.1,0.9,2.2,0.415,0.3,0.6,0.52,1.4,0.6,1.2,2.1,0,8.0,['OREGONST'],,0,0,0,14,1984,0.6,0.8,0.2,0.1,0.4,5.0,4.0,1.0,7.2,0.0,0.0,0.0,0.9,2.1,0.424,0.415,1.0,
0,Paul Stovall,1972-73,24.0,['PHO' 'SDA'],NBA,SF,25.0,,14.9,2.8,5.6,0.493,2.2,3.4,0.636,4.5,0.9,2.5,7.7,0,21.0,['ARIZONAST'],,0,0,0,9,1972,1.6,2.8,0.3,0.5,1.6,11.0,3.0,1.0,,0.0,0.0,,2.8,5.6,0.493,0.493,1.0,
0,Greg Smith,1968-69,22.0,['MIL' 'TOT' 'HOU' 'POR'],NBA,PF,82.0,,29.6,5.0,9.7,0.512,1.7,2.6,0.718,10.2,2.9,3.7,11.7,1,26.0,['WKENTUCKY'],,0,1,0,14,1968,1.0,1.9,0.6,0.1,,23.0,10.0,5.0,,,,,,,,,2.0,1.0
0,Danny Schayes,1981-82,22.0,['UTA' 'TOT' 'DEN' 'MIL' 'LAL' 'PHO' 'MIA' 'ORL'],NBA,C,82.0,74.0,32.8,4.6,10.3,0.54,5.0,6.0,0.955,9.0,3.3,4.3,13.9,1,37.0,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/schayda01.jpg,0,0,0,13,1981,2.7,6.2,0.8,1.4,3.9,24.0,11.0,6.0,31.6,0.0,0.1,1.0,4.6,10.3,0.542,0.54,7.0,1.0
0,Roger Strickland,1963-64,23.0,['BAL'],NBA,,1.0,,4.0,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,1.0,2.0,0,2.0,,,0,0,0,9,1962,,,,,,,,,,,,,,,,,,
0,Collin Sexton,2018-19,20.0,['CLE' 'UTA'],NBA,PG,82.0,72.0,35.3,8.8,18.4,0.506,5.2,6.4,0.846,3.3,4.4,2.6,24.3,0,42.0,['ALABAMA'],https://www.basketball-reference.com/req/202106291/images/headshots/sextoco01.jpg,0,0,0,8,2018,1.2,2.2,1.0,0.2,2.8,10.0,12.0,3.0,32.4,1.6,4.4,0.402,7.1,14.0,0.546,0.558,2.0,
0,Joe Strawder,1965-66,25.0,['DET'],NBA,C,79.0,,27.8,3.6,8.4,0.452,2.4,3.3,0.718,10.4,1.2,4.4,9.5,0,29.0,['BRADLEY'],,0,0,0,9,1964,,,,,,26.0,6.0,,,,,,,,,,,
0,Dave Sorenson,1970-71,22.0,['CLE' 'TOT' 'PHI'],NBA,PF,79.0,,24.6,4.5,10.1,0.456,2.3,2.9,0.803,6.2,2.1,2.3,11.3,1,34.0,['OHIOST'],,0,0,0,9,1970,,,,,,18.0,9.0,,,,,,,,,,,
0,Marreese Speights,2008-09,21.0,['PHI' 'MEM' 'TOT' 'CLE' 'GSW' 'LAC' 'ORL'],NBA,C,82.0,54.0,22.4,4.2,8.6,0.502,2.2,2.8,0.876,6.2,0.9,2.8,10.4,1,32.0,['FLORIDA'],https://www.basketball-reference.com/req/202106291/images/headshots/speigma01.jpg,0,1,0,16,2008,2.2,4.0,0.5,0.7,1.2,18.0,5.0,3.0,28.1,1.7,4.5,0.4,4.1,8.5,0.52,0.539,4.0,
0,Jack Smiley,1948-49,26.0,['FTW' 'TOT' 'AND' 'WAT'],BAA,,59.0,,,2.4,9.7,0.293,2.6,3.8,0.701,,3.1,3.4,6.7,1,27.0,,,0,0,0,,,,,,,,,4.0,,,,,,,,,,,
0,Willie Sojourner,1971-72,23.0,['VIR' 'NYA'],ABA,C,84.0,,16.6,3.1,6.4,0.496,1.5,2.3,0.844,6.1,1.2,2.9,7.5,0,26.0,['WEBERST'],,0,1,0,3,1971,2.2,3.9,0.3,1.1,1.3,20.0,5.0,2.0,13.1,0.0,0.0,0.333,3.1,6.4,0.496,0.496,3.0,
0,Aaron Swinson,1994-95,24.0,['PHO'],NBA,SF,9.0,0.0,5.7,1.1,2.0,0.556,0.4,0.6,0.8,0.9,0.3,0.9,2.7,0,12.0,['AUBURN'],,0,0,0,,,0.3,0.6,0.1,0.0,0.6,2.0,2.0,1.0,6.9,0.0,0.0,,1.1,2.0,0.556,0.556,,
0,Larry Steele,1971-72,22.0,['POR'],NBA,SG,81.0,,32.7,4.0,9.1,0.548,2.3,2.8,0.836,3.9,4.2,3.6,10.3,0,30.0,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/steella01.jpg,0,1,0,2,1971,1.1,2.7,2.7,0.4,2.1,11.0,13.0,10.0,21.4,0.0,0.3,0.0,4.0,8.9,0.548,0.548,5.0,1.0
0,Walt Szczerbiak,1971-72,22.0,['PTC'],ABA,SF,53.0,,11.3,2.8,4.5,0.629,0.7,1.0,0.66,2.8,0.8,1.9,6.3,0,26.0,['GEORGEWASH'],,0,0,0,14,1971,1.5,1.3,,,0.9,12.0,8.0,,,0.0,0.0,0.0,2.8,4.4,0.634,0.629,,
0,God Shammgod,1997-98,21.0,['WAS'],NBA,PG,20.0,0.0,7.3,1.0,2.9,0.328,1.2,1.5,0.767,0.4,1.8,1.4,3.1,0,12.0,['PROVIDENCE'],,0,0,0,17,1997,0.1,0.3,0.4,0.1,1.1,2.0,7.0,2.0,7.0,0.0,0.1,0.0,1.0,2.8,0.339,0.328,1.0,
0,Ed Sherod,1982-83,23.0,['NYK'],NBA,PG,64.0,37.0,25.4,2.7,6.6,0.406,0.8,1.3,0.65,2.3,4.9,1.8,6.2,0,20.0,['VCU'],,0,0,0,3,1981,0.7,1.7,1.5,0.2,1.6,8.0,13.0,6.0,17.7,0.0,0.2,0.077,2.7,6.4,0.417,0.407,2.0,
0,Jaden Springer,2021-22,19.0,['PHI'],NBA,SG,16.0,2.0,5.6,1.1,2.2,1.0,0.4,0.5,0.75,1.0,0.5,0.9,2.6,0,19.0,['TENNESSEE'],https://www.basketball-reference.com/req/202106291/images/headshots/sprinja01.jpg,0,0,0,28,2021,0.5,0.5,0.4,1.0,0.5,2.0,3.0,2.0,13.1,0.1,0.3,0.4,0.9,1.9,1.0,1.0,2.0,
0,Julyan Stone,2011-12,23.0,['DEN' 'TOR' 'CHO'],NBA,SG,23.0,2.0,8.1,0.6,1.4,1.0,0.8,1.0,0.75,1.3,1.7,1.0,1.8,0,9.0,['UTEP'],https://www.basketball-reference.com/req/202106291/images/headshots/stoneju01.jpg,0,0,0,,,0.5,1.2,0.4,0.3,0.5,6.0,7.0,2.0,12.4,0.3,0.6,0.462,0.5,0.9,1.0,1.0,2.0,
0,Larry Siegfried,1963-64,24.0,['BOS' 'SDR' 'TOT' 'HOU' 'ATL'],NBA,SG,79.0,,32.4,5.0,13.1,0.442,4.3,4.9,0.881,3.9,6.5,3.1,14.2,1,39.0,['OHIOST'],,0,5,0,3,1961,,,,,,11.0,21.0,,,,,,,,,,,
0,Garfield Smith,1970-71,25.0,['BOS' 'SDA'],NBA,C,71.0,,14.9,1.6,3.4,0.475,0.6,1.5,0.393,4.3,0.5,2.8,3.7,0,14.0,['EKENTUCKY'],,0,0,0,10,1968,2.0,2.3,,,0.5,13.0,3.0,,,0.0,0.0,,1.6,3.4,0.475,0.475,,
