,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,STL,"Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles
0,Bob Quick,1968-69,22.0,['BAL' 'TOT' 'DET' 'DLC'],NBA,SF,56.0,,20.5,2.8,6.1,0.533,0.0,0.0,,2.8,6.1,0.533,0.533,2.5,3.1,1.0,1.0,1.3,4.1,1.0,,0.7,2.5,8.0,1,21.0,13.0,6.0,['XAVIER'],,0,0,0,4,1968,,,,,
0,Immanuel Quickley,2020-21,21.0,['NYK'],NBA,PG,81.0,21.0,28.9,5.2,11.6,0.448,2.1,5.6,0.389,3.1,6.0,0.521,0.537,2.5,3.1,0.891,0.7,3.4,4.2,3.5,0.2,1.3,2.1,14.9,0,40.0,16.0,15.0,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/quickim01.jpg,0,0,0,25,2020,1.0,4.0,3.0,38.6,2.0
0,Tim Quarterman,2016-17,22.0,['POR' 'HOU'],NBA,SG,16.0,0.0,5.0,0.8,1.8,0.448,0.3,0.8,0.385,0.5,1.0,1.0,0.534,0.7,0.7,1.0,0.3,1.0,1.0,0.7,0.2,0.7,0.4,1.9,0,10.0,4.0,3.0,['LSU'],https://www.basketball-reference.com/req/202106291/images/headshots/quartti01.jpg,0,0,0,,,0.1,1.0,2.0,4.4,
0,Lester Quinones,2022-23,22.0,['GSW'],NBA,SG,4.0,0.0,4.5,0.5,1.3,0.4,0.5,1.0,0.5,0.0,0.3,0.0,0.6,1.0,1.5,0.667,0.3,0.5,0.8,0.5,0.0,1.3,0.0,2.5,0,9.0,1.0,1.0,['MEMPHIS'],https://www.basketball-reference.com/req/202106291/images/headshots/quinole01.jpg,0,0,0,,,0.3,1.0,,9.4,
0,Brian Quinnett,1989-90,23.0,['NYK' 'TOT' 'DAL'],NBA,SG,68.0,5.0,14.9,2.0,4.5,0.459,0.4,1.1,0.385,1.8,3.8,0.477,0.483,0.5,0.8,0.722,1.0,1.3,2.1,0.8,0.3,0.8,1.5,4.7,1,20.0,9.0,3.0,['WASHST'],,0,0,0,23,1989,0.6,3.0,2.0,15.3,
0,Chris Quinn,2006-07,23.0,['MIA' 'NJN' 'SAS' 'CLE'],NBA,PG,66.0,25.0,22.3,2.6,6.2,0.424,1.1,2.7,0.409,1.6,3.6,0.439,0.509,1.4,1.6,1.0,0.2,1.8,2.0,3.0,0.1,0.9,1.5,7.8,0,26.0,7.0,9.0,['NOTREDAME'],https://www.basketball-reference.com/req/202106291/images/headshots/quinnch01.jpg,0,0,0,,,0.8,6.0,1.0,23.7,
0,Neemias Queta,2021-22,22.0,['SAC'],NBA,C,15.0,0.0,8.0,1.2,2.5,0.667,0.0,0.0,,1.2,2.5,0.667,0.667,0.7,1.1,0.647,1.0,1.2,2.2,0.4,0.5,0.4,1.4,3.0,0,11.0,6.0,2.0,['UTAHST'],https://www.basketball-reference.com/req/202106291/images/headshots/quetane01.jpg,0,0,0,9,2021,0.1,1.0,2.0,8.3,
0,Zhou Qi,2017-18,22.0,['HOU'],NBA,C,18.0,0.0,6.9,1.0,1.8,1.0,0.1,1.1,0.105,1.0,1.0,1.0,1.0,0.4,0.7,0.667,0.3,0.9,1.2,0.1,0.8,0.6,0.8,2.0,0,6.0,3.0,1.0,,https://www.basketball-reference.com/req/202106291/images/headshots/qizh01.jpg,0,0,0,13,2016,0.1,1.0,4.0,6.0,
0,Trevelin Queen,2021-22,24.0,['HOU' 'IND'],NBA,SG,10.0,0.0,10.0,1.5,4.1,0.455,0.9,2.4,0.375,0.7,2.0,0.667,0.591,0.7,0.7,1.0,1.1,1.3,2.4,0.9,0.7,1.0,0.6,4.3,0,17.0,9.0,1.0,['NMSTATE'],https://www.basketball-reference.com/req/202106291/images/headshots/queentr01.jpg,0,0,0,,,0.5,4.0,3.0,12.3,
