,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Rolando Blackman,1981-82,22.0,['DAL' 'NYK'],NBA,SG,82.0,81.0,37.8,8.9,16.5,0.546,0.9,2.3,0.425,8.9,16.2,0.55,0.547,5.2,5.9,0.906,1.5,3.1,4.6,3.8,1.0,0.5,2.3,2.2,22.4,0,46.0,11.0,10.0,5.0,4.0,35.8,['KANSASST'],https://www.basketball-reference.com/req/202106291/images/headshots/blackro01.jpg,4,0,0,9,1981,
0,John Brown,1973-74,22.0,['ATL' 'CHI' 'TOT' 'UTA'],NBA,SF,77.0,,27.2,4.3,9.4,0.479,0.0,0.0,,4.3,9.4,0.479,0.479,2.5,3.4,1.0,2.5,3.5,5.9,1.8,0.7,0.2,1.5,3.7,11.2,1,28.0,16.0,6.0,4.0,2.0,27.6,['MISSOURI'],,0,0,0,10,1973,
0,Anthony Bonner,1990-91,22.0,['SAC' 'NYK' 'ORL'],NBA,PF,79.0,38.0,28.9,3.7,8.3,0.563,0.0,0.1,0.25,3.7,8.3,0.563,0.563,2.0,3.4,0.657,2.7,3.8,6.5,1.6,1.2,0.4,1.7,2.8,9.4,0,23.0,17.0,8.0,6.0,4.0,21.7,['STLOUIS'],,0,0,0,23,1990,
0,Mengke Bateer,2001-02,26.0,['DEN' 'SAS' 'TOR'],NBA,C,27.0,10.0,15.1,2.0,4.9,0.571,0.1,0.4,0.333,1.8,4.4,0.571,0.571,1.1,1.4,0.784,1.2,2.4,3.6,0.8,0.4,0.2,1.2,3.5,5.1,0,12.0,8.0,6.0,3.0,1.0,7.3,,,0,1,0,,,
0,Paris Bass,2021-22,26.0,['PHO'],NBA,SF,2.0,0.0,3.5,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.5,0.0,1.0,1.0,3.0,0,4.0,2.0,,1.0,,1.6,['DETROIT'],,0,0,0,,,
0,Wayman Britt,1977-78,25.0,['DET'],NBA,SG,7.0,,2.3,0.4,1.4,0.3,,,,,,,,0.4,0.6,0.75,0.1,0.4,0.6,0.3,0.1,0.0,0.1,0.4,1.3,0,4.0,1.0,2.0,,,-0.1,['MICHIGAN'],,0,0,0,9,1976,
0,Curtis Borchardt,2003-04,23.0,['UTA'],NBA,C,67.0,23.0,16.1,1.4,3.5,0.43,0.0,0.1,0.0,1.4,3.4,0.43,0.43,0.9,1.1,0.778,1.3,2.6,3.4,0.9,0.3,0.9,1.1,2.5,3.6,0,12.0,11.0,3.0,2.0,4.0,12.1,['STANFORD'],,0,0,0,18,2002,
0,Patrick Baldwin Jr.,2022-23,20.0,['GSW'],NBA,SF,31.0,0.0,7.3,1.4,3.5,0.394,1.0,2.7,0.381,0.4,0.8,0.44,0.541,0.1,0.2,0.667,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,0,17.0,5.0,2.0,3.0,2.0,13.3,['WISCMILW'],https://www.basketball-reference.com/req/202106291/images/headshots/baldwpa01.jpg,0,0,0,28,2022,
0,Butch Booker,1969-70,24.0,['MMF'],ABA,C,12.0,,18.4,2.5,5.1,0.492,0.0,0.1,0.0,2.5,5.0,0.5,0.492,0.8,1.5,0.556,3.7,3.9,7.6,0.5,,,1.1,1.9,5.8,0,15.0,13.0,1.0,,,,,,0,0,0,,,
0,Corey Benjamin,1998-99,20.0,['CHI' 'ATL'],NBA,PG,65.0,10.0,18.0,3.0,7.3,0.414,0.6,1.9,0.348,2.4,5.4,0.437,0.459,1.3,1.8,0.75,1.1,2.3,3.4,1.1,0.6,0.5,1.5,2.5,7.7,0,21.0,8.0,6.0,4.0,3.0,17.9,['OREGONST'],,0,0,0,28,1998,
0,Frankie Brian,1949-50,26.0,['AND' 'TRI' 'FTW'],NBA,,71.0,,40.5,5.8,18.1,0.38,,,,,,,,6.3,7.6,0.851,,,3.6,3.9,,,,3.3,17.8,0,41.0,7.0,10.0,,,,['LSU'],,2,0,0,,,
