Player,Tot
Kareem Abdul-Jabbar,19
LeBron James,19
Kobe Bryant,18
Julius Erving,16
Tim Duncan,15
Kevin Garnett,15
Shaquille O'Neal,15
Michael Jordan,14
Karl Malone,14
Dirk Nowitzki,14
Jerry West,14
Wilt Chamberlain,13
Bob Cousy,13
Kevin Durant,13
John Havlicek,13
Moses Malone,13
Dwyane Wade,13
Rick Barry,12
Larry Bird,12
George Gervin,12
Elvin Hayes,12
Magic Johnson,12
Hakeem Olajuwon,12
Chris Paul,12
Oscar Robertson,12
Bill Russell,12
Dolph Schayes,12
Isiah Thomas,12
Charles Barkley,11
Elgin Baylor,11
Chris Bosh,11
Patrick Ewing,11
Artis Gilmore,11
Allen Iverson,11
Bob Pettit,11
Ray Allen,10
Carmelo Anthony,10
Paul Arizin,10
Clyde Drexler,10
Hal Greer,10
James Harden,10
Jason Kidd,10
Paul Pierce,10
David Robinson,10
John Stockton,10
Stephen Curry,9
Robert Parish,9
Gary Payton,9
Russell Westbrook,9
Lenny Wilkens,9
Dominique Wilkins,9
Vince Carter,8
Dave Cowens,8
Anthony Davis,8
Dave DeBusschere,8
Alex English,8
Larry Foust,8
Paul George,8
Dwight Howard,8
Kyrie Irving,8
Bob Lanier,8
Yao Ming,8
Dikembe Mutombo,8
Steve Nash,8
Bill Sharman,8
LaMarcus Aldridge,7
Giannis Antetokounmpo,7
Dave Bing,7
Louie Dampier,7
Mel Daniels,7
Walt Frazier,7
Harry Gallatin,7
Grant Hill,7
Dan Issel,7
Joe Johnson,7
Damian Lillard,7
Jerry Lucas,7
Ed Macauley,7
Slater Martin,7
Tracy McGrady,7
Dick McGuire,7
Kevin McHale,7
Alonzo Mourning,7
Scottie Pippen,7
Willis Reed,7
Jack Sikma,7
Nate Thurmond,7
Chet Walker,7
Jo Jo White,7
James Worthy,7
Tiny Archibald,6
Jimmy Butler,6
Larry Costello,6
Adrian Dantley,6
Walter Davis,6
DeMar DeRozan,6
Joe Dumars,6
Joel Embiid,6
Pau Gasol,6
Blake Griffin,6
Richie Guerin,6
Cliff Hagan,6
Tom Heinsohn,6
Bailey Howell,6
Lou Hudson,6
Neil Johnston,6
Jimmy Jones,6
Shawn Kemp,6
Kyle Lowry,6
George McGinnis,6
Vern Mikkelsen,6
Jermaine O'Neal,6
Tony Parker,6
Mitch Richmond,6
Amar'e Stoudemire,6
Jack Twyman,6
George Yardley,6
Zelmo Beaty,5
Chauncey Billups,5
Carl Braun,5
Mack Calvin,5
Billy Cunningham,5
Brad Daugherty,5
Wayne Embry,5
Donnie Freeman,5
Tom Gola,5
Gail Goodrich,5
Tim Hardaway,5
Connie Hawkins,5
Spencer Haywood,5
Al Horford,5
Dennis Johnson,5
Gus Johnson,5
Marques Johnson,5
Nikola Jokić,5
Bobby Jones,5
Sam Jones,5
Larry Kenon,5
Rudy LaRusso,5
Kawhi Leonard,5
Kevin Love,5
Maurice Lucas,5
Pete Maravich,5
Bob McAdoo,5
